SMILES,Affinity,Ionization
c1(N(C)C)nnc(nn1)N(C)C,1.7,3.98
C(C1=CC=C(SS1)C(C)(C)C)(C)(C)C,1.72,3.84
[C@]123[C@@]4([C@@H]1[C@H]3CCC[C@H]24)SC,2.32,0.45
c1(N2CCCC2)nnc(nn1)N1CCCC1,1.62,3.86
C1(=CC=C(SS1)CO)CO,2.17,3.85
c1(ccc(cc1)/C=C/c1ccc(cc1)N)N(=O)=O,2.0,3.81
S(Sc1c(N)cccc1)c1c(N)cccc1,2.01,3.99
[C@H]1([C]S1)C(Cl)(Cl)Cl.C(#C)C(Cl)(Cl)Cl,2.32,3.36
c1c2c(ccn1)c1ccncc1c1C=Cc21,1.99,3.32
c1cc(c(cn1)[C](O)O)c1[c]cncc1C(=O)O,2.28,2.87
C1=C([C@@H](C=[CH])N1c1ccncc1C)[CH2],2.46,2.41
c1cc2c(cc1)[C](c1c(C2=O)cc(cc1N([CH2])C)C)O,2.15,2.72
C1(=CC=C(SS1)C(C)C)C(C)C,1.85,3.78
C1(=C(C(=O)OC)S/C(=C\2/SC(=C(S2)C(=O)OC)C(=O)OC)/S1)C(=O)OC,1.74,3.69
C1=NC=C[C]([C@H]1N)c1ccncc1[CH2],1.97,3.75
c1cc2c(cc1)[C](c1c(C2=O)c(ccc1N([CH2])C)C)O,2.04,2.72
c1cc2c(cc1)C(=O)c1c(C2=O)c(c(cc1)NC)NC,1.91,3.74
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1N)N,1.85,3.76
c12c3[S]=[S]c1cccc2ccc3,2.1,3.79
N(N)c1ccc(cc1)Cl.Cl,2.29,3.82
c12c(c(c3ccc(cc3)OC)ccc1c1ccc(cc1)OC)nsn2,1.52,3.99
C(Cc1ccc(cc1)N)c1ccc(cc1)N(=O)=O,1.99,3.93
C1(=C(C(=O)C(=C(C1=O)N(C)C)N(C)C)N(C)C)N(C)C,1.91,3.08
c12c(c3c(c4c1cccc4)cccc3)cc1c(c2)cc2c(c1)cc1c(c2)cccc1,1.55,3.48
C=CC1=C(Cl)S[C](C2=[S]C=CS2)S1,1.57,3.36
C1=C[S]=C([C]2SC(=C(N(=O)=O)S2)F)S1,2.2,3.7
CC(C)(C)C1=C(N(=O)=O)S[C](C2=[S]C=CS2)S1,2.14,3.49
CC(=O)C1=C(C#N)S[C](C2=[S]C=CS2)S1,2.06,3.56
C1=C(N(=O)=O)[S]=C(C2=[S]C(=CS2)N(=O)=O)S1,2.25,3.99
C#CC1=CSC(=[S]1)C1=[S]C(=CS1)N(=O)=O,2.3,3.68
C1=C[S]=C([C]2SC(=C(N(=O)=O)S2)Cl)S1,2.31,3.65
c12c3c4=[S][S]=c3c3c(c2=[S][S]=c1c1c4cccc1)cccc3,1.51,3.01
c1ccc(cc1)C1=C(Cl)S[C](C2=[S]C=CS2)S1,1.6,3.32
CC(C)(C)C1=C(Cl)S/C(=C/2\SC=CS2)/S1,1.58,3.24
C1=C(N)S/C(=C\2/SC=C(N(=O)=O)S2)/S1,2.27,3.42
CC(=O)C1=C(C(=O)O)S[C](C2=[S]C=CS2)S1,2.11,3.46
CC(C)(C)C1=CSC(=[S]1)C1=[S]C(=CS1)N(=O)=O,2.26,3.53
C(#N)C1=CS[C](C2=[S]C(=CS2)N(=O)=O)S1,2.34,3.86
C/C(=N/n1c2cc(ccc2[nH]s1)C(=O)O)/O,2.34,3.38
Cn1c2ccc(cc2[nH]s1)C#N,2.15,3.42
c1cc2c3c4c1c(=O)n1c(c4ccc3c3c4c(cccc24)ccc3)nc2c1cc(c(c2)C)C,2.08,3.94
C/C(=N/C1=C(N(=O)=O)S[C](C2=[S]C=CS2)S1)/O,2.31,3.51
C=Cn1c2ccccc2n(CC)s1,1.6,3.05
c1ccc(cc1)c1cccc2c1[nH]sn2c1ccccc1,2.21,3.2
CC(=O)n1c2cc(ccc2[nH]s1)C(F)(F)F,2.08,3.78
Cn1ccc(=c2ccn(C)c(c2C(=O)O)N(=O)=O)cc1,1.98,2.33
C=Cn1c2cccc(c2[nH]s1)OC,2.25,3.33
CC1=C(N(=O)=O)S[C](C2=[S]C=CS2)S1,2.12,3.54
C1=C(Cl)[S]=C(C2=[S]C(=CS2)N(=O)=O)S1,2.3,3.71
CC1=CSC(=[S]1)C1=[S]C(=CS1)N(=O)=O,2.26,3.54
C1=C[S]=C([C]2SC(=C(Cl)S2)Cl)S1,1.64,3.44
CC(=O)n1c2ccccc2n(C(C)(C)C)s1,1.79,3.34
C#CC1=C(Cl)S/C(=C/2\SC=CS2)/S1,1.6,3.41
c1ccc2c(c1)n(N)sn2N,1.88,3.53
C=CC1=CSC(=[S]1)C1=[S]C(=CS1)N(=O)=O,2.28,3.61
C1=C[S]=C([C]2SC(=C(Cl)S2)C#N)S1,1.77,3.57
CN(C)[C]1[C](N(=O)=O)S[C](C2=[S]C=CS2)S1,1.79,3.49
