SMILES,Affinity,Ionization
c12c(C(=O)c3c(C1=O)cccc3)cccc2N(=O)=O,2.45,6.13
C(=O)(O)c1c(N(=O)=O)cccc1,2.19,6.15
C(=O)(OCC(F)(F)F)/C=C\C(=O)OCC(F)(F)F,2.06,6.48
C(CC(=O)Cl)CCCCC(=O)Cl,1.63,6.88
Clc1c2c(c(c(c1Cl)Cl)Cl)C(=O)OC2=O,2.35,6.1
Clc1nc(Cl)nc(n1)Cl,1.61,7.03
C(C#N)(C#N)c1ccc(cc1)N(=O)=O,2.26,6.52
Cl[O].[O].[O].[O].C(C)N1[C]2C(=CC=C1)C=CC=C2,2.03,6.13
C(C(F)(F)F)(Cl)(Cl)Cl,2.49,7.66
S(=O)(=O)(c1ccc(cc1)N(=O)=O)c1ccccc1,2.37,6.09
C(=O)(Cl)c1c(C(=O)Cl)cccc1,2.04,6.24
N(=O)(=O)N1CN(N(=O)=O)CN(CN(C1)N(=O)=O)N(=O)=O,2.0,6.53
C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(C(C(C(F)F)(F)F)(F)F)(F)F,1.54,8.36
[C@H](CCC(=O)OCC)(C(=O)OCC)N(=O)=O,1.74,6.47
c1(c(ccc(c1)C#N)C#N)C#N,1.99,6.56
O=C1c2c(C(=O)O1)ccc(c2)C(=O)c1cc2c(cc1)C(=O)OC2=O,2.42,6.27
S(=O)(=O)(c1cc(N(=O)=O)ccc1)C,2.27,6.51
c1(c(cc(cc1)N(=O)=O)Cl)C(=O)O,2.47,6.08
c1(C(=O)F)ccc(cc1)C(=O)F,2.1,6.36
c1(cc(N(=O)=O)ccc1)C(=O)OC,2.15,6.32
C(c1c(C(F)(F)F)c(C(F)(F)F)cc(c1C(F)(F)F)C(F)(F)F)(F)(F)F,1.99,7.27
c12c(c(=O)n(c1=O)C)cc1c(c2)c(=O)n(c1=O)C,2.33,6.14
S(=O)(=O)(c1c(N(=O)=O)cccc1)C,2.32,6.49
C(c1c(C(F)(F)F)cc(c(c1)C(F)(F)F)C(F)(F)F)(F)(F)F,1.77,7.04
c1(cc(C#N)cc(c1)C#N)C#N,1.53,6.65
c1(cc(cc(c1)C(=O)O)N(=O)=O)N(=O)=O,2.47,6.83
c1(cc2c(cc1)C(=O)c1c(C2=O)cccc1)C(Cl)(Cl)Cl,2.38,6.08
c1(cc2c(cc1)C(=O)c1c(C2=O)cccc1)C(=O)O,2.37,6.07
c1cc(c(cn1)N(=O)=O)c1ccnc(c1)N(=O)=O,2.38,6.39
c1(cc(ccn1)c1ccnc(c1)N(=O)=O)N(=O)=O,2.28,6.62
C(=O)(OCC(Cl)(Cl)Cl)N=C=O,2.39,6.83
c1cc(ccn1)c1c(cncc1c1ccccc1)c1ccccc1,2.34,6.45
c1cc(c(cn1)C#N)c1ccncc1C#N,1.77,6.37
c1(cc(ccn1)c1ccnc(c1)C#N)C#N,1.7,6.4
c1cc(c(cn1)c1ccccc1)c1ccnc(c1)c1ccccc1,2.4,6.34
c1cc(c(cn1)C#N)c1ccnc(c1)C#N,1.73,6.28
c1cc(cc(n1)C(Cl)(Cl)Cl)c1ccnc(c1)C(Cl)(Cl)Cl,1.55,6.17
c1cc(ccn1)c1ccnc(c1c1ccccc1)c1ccccc1,2.33,6.16
c1(cc(ccn1)c1ccnc(c1)C(=O)O)C(=O)O,1.51,6.14
c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1C#N)C,2.36,6.0
c12c(c(=O)[nH]c1=O)cc1c(c2)c(=O)[nH]c1=O,2.41,6.59
C(=C(C(C(F)(F)F)(F)F)F)(C(F)(F)F)C(F)(F)F,2.16,7.79
C(c1c(N(=O)=O)cccc1)(F)(F)F,2.22,6.38
c1(ccc(cc1)CC#N)N(=O)=O,2.14,6.14
O=C1C(C(=O)NC(=O)N1)C1C(=O)NC(=O)NC1=O,2.18,6.18
