SMILES,Affinity,Ionization
N(=O)(=O)c1c(O)c(N(=O)=O)ccc1,2.56,5.92
C12=C(C(=O)C3=C(C1=O)CC3)CC2,2.72,5.75
c1(c(c(c(c(c1F)F)F)F)F)N=O,2.69,5.18
c12c(c(N(=O)=O)ccc1N(=O)=O)cccc2,2.76,5.45
C(CCCCCCCCCC)C1=C(O)C(=O)C=C(C1=O)O,2.53,5.41
C(=O)(c1ccccc1)/N=C/1\C=CC(=O)C=C1,2.85,5.68
O=C1c2c(O[C@@H]([C@H]1O)C1=CC(=O)C(=O)C=C1)cc(cc2O)O,2.99,5.07
c1(c([N]C2=C[CH]C(=O)C=C2)ccc(c1)N(=O)=O)N(=O)=O,2.97,5.41
C1(=CC(=O)C=CC1=O)c1ccccc1,2.74,5.33
C1(=O)C(=O)C(=CC(=O)C=C1C)C,2.89,5.75
S(=O)(=O)(C1=CC(=O)C(=O)C=C1/C=C/C(=O)O)c1ccc(cc1)C,3.43,5.91
C1(=CC(=O)C(=CC1=O)C)C(C)C,2.55,5.96
n12c(n(nc(c1=O)N(=O)=O)C)nc(n2)SC,2.59,5.36
[Si](C1=CC(=O)C(=CC1=O)[Si](C)(C)C)(C)(C)C,2.58,5.56
c1(S(=O)(=O)[N]C2=C[CH]C(=O)C=C2)ccc(cc1)C,3.02,5.67
S(=O)(=O)([N]c1ccc(cc1)[N]S(=O)(=O)N(C)C)N(C)C,3.19,5.53
c1(c2c(c(c3c1cccc3)[C](C#N)C#N)cccc2)[C](C#N)C#N,2.71,5.63
C(C(=O)C(=O)C(=O)C(=O)C(C)(C)C)(C)(C)C,2.76,5.28
C1(=C([C](C(=O)C(=C1Cl)Cl)Cl)Cl)[N]C(=O)c1ccccc1,3.28,5.8
c12c3c(C(=O)c1ccc(c2)N(=O)=O)ccc(c3)N(=O)=O,2.78,5.6
S(=O)(=O)(NC1=CC(=C[C](C1=O)Cl)[N]S(=O)(=O)c1ccccc1)c1ccccc1,3.21,5.47
c12c(C(=O)C(=C(C1=O)Cl)C)cccc2,2.57,5.91
C1(=CC=C(C(=O)C1=O)C(C)(C)C)C(C)(C)C,2.59,5.19
c1(C(=O)OC)nnc(nn1)C(=O)OC,2.63,5.62
c12c(=C[C](C=C1N(=O)=O)N(=O)=O)n(on2)[O],3.23,5.84
c1(c(cccc1)SCl)N(=O)=O,3.37,5.27
c1c(ccs1)C(Cl)(Cl)Cl,2.63,5.37
c1cc2c(cc1N(=O)=O)C(=O)c1c(C2=O)cc(cc1)C,2.62,5.79
c1cc(ccn1)c1ccnc(c1C)C(Cl)(Cl)Cl,2.72,5.85
c1cc2c(cc1)ncc(n2)C(Cl)(Cl)Cl,2.78,5.67
c1cc(ccn1)c1cc(ncc1C)C(Cl)(Cl)Cl,2.88,5.88
Cc1cscc1C(Cl)(Cl)Cl,2.78,5.19
c1c(c2c(cc1)nccn2)C(Cl)(Cl)Cl,2.93,5.57
c1(cc2c(cc1)nccn2)C(Cl)(Cl)Cl,2.73,5.64
c1cc2c(cc1)nc(c(n2)C)C(Cl)(Cl)Cl,2.75,5.51
S(=O)(=O)(Sc1c(Cl)ccc(c1)Cl)c1c(Cl)ccc(c1)Cl,2.71,5.43
C(#N)C1=C(C#N)C(=O)c2c(C1=O)cn(c2)C,3.22,5.5
c1(c(ccs1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.96,5.62
C1=C[C@]2(C=C(N12)c1ccncc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.74,5.36
c1c(csc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.79,5.61
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)N(C)C)N(C)C,3.18,5.4
c1cc(cc(n1)C)c1ccnc(c1)C(Cl)(Cl)Cl,2.72,5.69
c1cc(ccn1)c1ccnc(c1N(=O)=O)N(=O)=O,2.63,5.9
c1cc(ccn1)c1cc(nc(c1)C(Cl)(Cl)Cl)C,2.68,5.84
c1c(c(ccn1)c1ccncc1O[N][O])C,2.81,5.24
c1cc(c(cn1)C)c1ccnc(c1)C(Cl)(Cl)Cl,2.75,5.69
c1cc(ccn1)c1cc(ncc1N(=O)=O)N(=O)=O,2.91,5.84
c1cc(ccn1)c1c(cnc(c1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.86,5.85
c1cc2c(cc1N(C)C)C(=O)c1c(C2=O)cc(cc1)N(C)C,3.14,5.49
[CH2]C#C[CH2].[C]=C[C@@H]1N=C(C=N1)C#N,2.5,5.14
c1cc2c(c(c1)C)C(=O)c1c(C2=O)c(ccc1)C(=O)O,2.55,5.97
c1cc2c(cc1N(=O)=O)C(=O)c1c(C2=O)c(ccc1)C,2.56,5.74
[N](C#N)c1c(OC)cc(c(c1)OC)[N]C#N,3.34,5.41
[C@H]([C@@H](ON(=O)=O)c1ccccc1)(N(=O)=O)c1ccccc1,2.53,5.62
c1(c(cc(cc1)N(=O)=O)N(=O)=O)S[N]C1=C[CH]C(=O)C=C1,2.62,5.0
c1c(c2c(cc1N(=O)=O)nccn2)N(=O)=O,2.63,5.93
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1C(=O)O)C,2.53,5.85
S([O])([O])(O)C1=CC(=O)C(=O)c2c1cccc2,3.04,5.88
[C](C#N)(C#N)c1ccc(cc1)[C](C#N)C#N,3.49,5.59
c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)C)N(=O)=O,2.59,5.75
C(=O)([N][N]C(=O)OCC)OCC,2.82,5.52
c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)C(=O)O)C,2.6,5.98
Cc1cc(cs1)C(Cl)(Cl)Cl,2.91,5.06
C(=C\C(=O)O)/C1=CC(=O)C(=O)C=C1,3.1,5.72
c1cc2c(cc1C)C(=O)c1c(C2=O)c(ccc1)C(=O)O,2.59,5.96
S(=O)(=O)(Cl)c1c(C)cc(cc1C)C,3.13,5.56
O(C)C1=CC(=O)C=C(C1=O)OC,2.71,5.2
O=C1N(C(=O)N=N1)c1ccccc1,3.33,5.59
O=C1c2c(C(=O)C=C1)c(O)ccc2,2.63,5.28
O=C1c2c(C(=O)N1O)ccc(c2)N(=O)=O,2.6,5.79
O=C1c2c(C=CC1=O)cccc2,2.61,5.54
N(=O)(=O)c1c2c(C(=O)N(C2=O)O)ccc1,2.51,5.77
Cl[O].[O].[O].[O].C12=C(C=C([S]=C1c1c(CC2)cccc1)c1ccccc1)c1ccccc1,2.59,5.26
C(SCl)(c1ccccc1)(c1ccccc1)c1ccccc1,2.88,5.07
C(C)(C)(C)C1=CC(=CC(=O)C1=O)C(C)(C)C,2.62,5.33
P(SSP(OCC)(OCC)[S])(OCC)(OCC)[S],2.66,5.29
C#Cc1ccc(C(Cl)(Cl)Cl)s1,2.99,5.04
C#Cc1cscc1C(Cl)(Cl)Cl,2.71,5.19
c12c(c([C](C#N)C#N)ccc1[C](C#N)C#N)cccc2,3.25,5.52
c1c(c(cs1)C(F)(F)F)C(Cl)(Cl)Cl,2.95,5.8
c1c(C#N)csc1C(Cl)(Cl)Cl,2.81,5.77
CC(=O)c1cc(cs1)C(Cl)(Cl)Cl,2.68,5.61
c1c(csc1C(Cl)(Cl)Cl)F,2.86,5.37
c1c(csc1F)C(Cl)(Cl)Cl,2.69,5.28
c1csc(c1C#N)C(Cl)(Cl)Cl,2.95,5.74
C#Cc1ccsc1C(Cl)(Cl)Cl,2.9,5.23
CC(=O)c1ccc(N(=O)=O)s1,2.58,5.97
c1cc(Cl)sc1C(Cl)(Cl)Cl,2.96,5.19
CC(=O)c1ccc(C(Cl)(Cl)Cl)s1,2.93,5.56
c1csc(c1N(=O)=O)C(Cl)(Cl)Cl,2.84,5.91
c12c(c(=O)c(=O)c1=O)cccc2,2.82,5.4
c1csc(c1C(Cl)(Cl)Cl)C(F)(F)F,3.09,5.81
c1c(c(cs1)F)C(Cl)(Cl)Cl,2.7,5.48
CCc1cscc1C(Cl)(Cl)Cl,2.64,5.14
c1csc(C#N)c1C(Cl)(Cl)Cl,2.89,5.74
c1c(c(cs1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.75,5.68
c1c(c(cs1)Cl)C(Cl)(Cl)Cl,2.57,5.39
c1c(csc1C(Cl)(Cl)Cl)Cl,2.84,5.32
c1c(csc1C#N)C(Cl)(Cl)Cl,2.64,5.75
c1csc(c1C(Cl)(Cl)Cl)C(=O)O,3.04,5.66
c1csc(c1C(Cl)(Cl)Cl)Cl,2.94,5.21
C(#N)c1cscc1C(Cl)(Cl)Cl,2.71,5.88
CC(=O)c1ccsc1C(Cl)(Cl)Cl,2.87,5.52
c1(cc2c3c4c1c(=O)n(c(=O)c4cc(c3c(=O)n(c2=O)C)F)C)F,2.65,5.71
c1cc2c3c4c1c(=O)n(c(=O)c4ccc3c(=O)n(c2=O)C)C,2.52,5.57
c1c(csc1C(F)(F)F)C(Cl)(Cl)Cl,2.64,5.81
C1CCC2(CC1)C(=O)O2.C(=O)=O,2.53,5.98
C/C(=N/c1cnc(cn1)C(Cl)(Cl)Cl)/O,2.72,5.16
C/C(=N/c1c(C(Cl)(Cl)Cl)nccn1)/O,3.24,5.19
C/C(=N/c1cnc(cn1)C(Br)(Br)Br)/O,2.85,5.1
C=C[C@H]1CCCC[C@H]1C(Cl)(Cl)Cl,2.66,5.39
C1=C[C@@H](C#N)C(=C1)C(Cl)(Cl)Cl,3.31,5.42
C1=C[C@H](C(=C1)N(=O)=O)N(=O)=O,2.59,5.97
C#C[C@H]1C=CC=C1C(Cl)(Cl)Cl,3.32,5.13
c1c(C(Br)(Br)Br)[nH]c(=O)cn1,3.06,5.29
C/C(=N/c1c(C(Br)(Br)Br)nccn1)/O,3.36,5.15
c1c(C(Cl)(Cl)Cl)[nH]c(=O)cn1,2.92,5.39
CC(=O)/N=c\1/cncc([nH]1)N(=O)=O,2.88,5.53
C/C(=N/c1cncc(C(Cl)(Cl)Cl)n1)/O,2.74,5.14
COCCOCCOCCOc1cnc(cn1)C(Br)(Br)Br,2.8,5.47
c1ccc(cc1)[C@@H]1CCC[C@@H]1C(Cl)(Cl)Cl,2.6,5.11
C#Cc1c(C(Br)(Br)Br)nccn1,2.85,5.79
COc1cnc(cn1)C(Br)(Br)Br,3.13,5.43
C=Cc1c(C(Cl)(Cl)Cl)nccn1,2.77,5.54
COc1c(C(Cl)(Cl)Cl)nccn1,2.93,5.62
C#Cc1cnc(cn1)C(Cl)(Cl)Cl,2.87,5.93
COc1c(C(Br)(Br)Br)nccn1,3.09,5.56
C#Cc1c(C(Cl)(Cl)Cl)nccn1,2.77,5.96
COc1cncc(C(Br)(Br)Br)n1,2.95,5.46
C#Cc1cnc(cn1)C(Br)(Br)Br,2.98,5.81
Cc1c(C(Cl)(Cl)Cl)nccn1,2.75,5.83
C#Cc1cncc(C(Cl)(Cl)Cl)n1,2.82,5.92
Cc1cnc(cn1)C(Cl)(Cl)Cl,2.78,5.8
Cc1cnc(cn1)C(Br)(Br)Br,2.93,5.76
Cc1cncc(C(Cl)(Cl)Cl)n1,2.8,5.8
C#Cc1cncc(C(Br)(Br)Br)n1,2.9,5.82
COc1cncc(C(Cl)(Cl)Cl)n1,2.78,5.56
C=Cc1cncc(C(Cl)(Cl)Cl)n1,2.78,5.48
c1ccc(cc1)c1cncc(C(Br)(Br)Br)n1,2.93,5.2
c1ccc(cc1)c1cnc(cn1)C(Br)(Br)Br,2.95,5.2
c1ccc(cc1)c1cnc(cn1)C(Cl)(Cl)Cl,2.79,5.25
c1ccc(cc1)c1cncc(C(Cl)(Cl)Cl)n1,2.76,5.23
CC(C)(C)c1c(C(Cl)(Cl)Cl)nccn1,2.74,5.63
CC(C)(C)c1cnc(cn1)C(Cl)(Cl)Cl,2.8,5.65
COCCOc1cncc(C(Cl)(Cl)Cl)n1,2.77,5.54
CC(C)(C)c1cnc(cn1)C(Br)(Br)Br,2.93,5.62
c1c[nH]c(=O)c(C(Br)(Br)Br)n1,3.38,5.38
c1cnc(cn1)C(Br)(Br)Br,2.94,5.85
c1c[nH]c(=O)c(C(Cl)(Cl)Cl)n1,3.26,5.42
c1c(C(Br)(Br)Br)ncc(=O)[nH]1,3.29,5.34
COCCOCCOCCOc1c(C(Cl)(Cl)Cl)nccn1,2.91,5.6
CC(=O)c1cnc(cn1)C(Cl)(Cl)Cl,2.87,5.84
COCCOCCOc1cncc(C(Cl)(Cl)Cl)n1,2.75,5.55
CC(=O)c1cnc(cn1)C(Br)(Br)Br,2.99,5.81
COCCOCCOc1c(C(Cl)(Cl)Cl)nccn1,2.92,5.59
CC(=O)c1c(C(Br)(Br)Br)nccn1,2.92,5.69
CC(C)(C)c1ccc2c(c1)ON(F)O2,3.41,5.15
COCCOc1c(C(Cl)(Cl)Cl)nccn1,2.91,5.6
CCc1c(C(Br)(Br)Br)nccn1,2.85,5.63
C=Cc1cnc(cn1)C(Cl)(Cl)Cl,2.83,5.48
CC(=O)c1cncc(C(Br)(Br)Br)n1,2.92,5.79
CCc1c(C(Cl)(Cl)Cl)nccn1,2.7,5.78
CCc1cnc(cn1)C(Cl)(Cl)Cl,2.76,5.76
CCc1cncc(C(Cl)(Cl)Cl)n1,2.76,5.77
COCCOCCOCCOc1cncc(C(Cl)(Cl)Cl)n1,2.74,5.57
c1cnc(c(C(Br)(Br)Br)n1)Cl,2.85,5.86
C=Cc1cncc(C(Br)(Br)Br)n1,2.91,5.42
CCc1cncc(C(Br)(Br)Br)n1,2.89,5.73
C=Cc1cnc(cn1)C(Br)(Br)Br,2.95,5.41
CC(C)(C)c1cncc(C(Cl)(Cl)Cl)n1,2.78,5.69
