SMILES,Affinity,Ionization
c1(c2sc(cc2)C)sc(cc1)C,0.52,3.83
c12c(cc3c(c1)cccc3)cccc2O,0.96,3.86
Nc1c2c(cc3c(c2)cccc3)ccc1,0.86,3.52
[S@]([CH2])(c1ccc(cc1)[S@](=O)C)c1ccccc1,0.69,3.31
Cc1c2c(c(c3c1cccc3)C)cccc2,0.91,3.78
[S@]([CH2])(c1c2c(ccc1)cccc2)c1ccccc1,0.69,3.22
C\1(=C\2/SC3=C(S2)OCCO3)/SC2=C(S1)OCCO2,0.64,3.15
c1(sc(cc1)c1ccccn1)c1sc(cc1)c1ccccn1,1.33,3.93
O=C1C2=C(Nc3c(S2)cccc3)CC(C1)(C)C,0.67,3.57
Nc1ccc(cc1)c1nc2c(s1)cc(cc2)C,0.68,3.92
c1(c2c(c(o1)c1ccccc1)cccc2)c1ccccc1,1.1,3.56
C12=C3[C]4C=C[C]1C=CC2=CC=CC3=CC=C4,1.46,3.85
c12c(c3c(cc1cccc2)cccc3)C,0.91,3.88
N1([C@@H]2CCC[C@H]1CCC2)SC,0.76,3.61
N(c1c2c(ccc1)cccn2)c1c(N)cccc1,0.87,3.53
c12c3c4ccc1c(ccc2ccc3ccc4)N,0.64,3.49
c12c(cc3c(c1)cc1c(c3)occ1)cc1c(c2)occ1,1.1,3.56
C12=C3C=C[CH]C=C1C=C[C]2C=C[CH][CH]3,1.37,1.44
S(C)c1c2n(c(c1C)SC)ccnc2,0.61,3.93
c12c3c4c5c6c1c(c1c(c2ccc3ccc4c2c(c5)cccc2)cccc1)ccc6,1.06,3.91
C(c1cc2c(cc1)cc1c(c2)cccc1)(C)(C)C,0.85,3.93
c12c(c(cc(=O)o2)C)ccc(c1)N(CC)CC,0.76,3.97
C12=C3C(=CC(=C[C]1C=C(C=C([C]2C=C3)C)C)C)C,1.28,3.36
C12=C(S/C(=C/C=C/3\SC4=C(S3)SCCS4)/S1)SCCS2,0.8,3.11
c1(ccc(cc1)N(C)C)/C=N/NC(=S)N,0.73,3.7
c12c3c4c(ccc3ccc1c(ccc2cc4)C)C,0.75,3.89
c1(/C=C/c2sccc2)ccccc1,0.85,3.98
C1(=[S]C(=C(S1)SCC)SCC)C1=[S]C(=C(S1)SCC)SCC,0.74,3.32
C(=O)(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C,0.71,3.89
c12c3c4c(cc1ccc(c2CC3)C)c1c(cc4)cccc1,0.69,3.77
c12c3c(sc1c1c(s2)ccs1)c1c(s3)ccs1,0.7,3.82
c1(c(cccc1)O)/C=N/Nc1ccccc1,0.64,3.85
c1(/C=C/c2ccccc2)ccc(cc1)N,0.55,3.57
c12c(c3c(cc1cccc2)cccc3)OC,0.95,3.84
c1(c2oc(cc2)c2occc2)oc(cc1)c1occc1,0.74,3.51
c12c3c(cc(s3)/C=C/c3ccccc3)ccc1cc(s2)/C=C/c1ccccc1,1.21,3.69
c12c3c([nH]c1cc1c(c2)cccc1)cccc3,0.56,3.86
c1(cc2c(cc1)nccn2)N(C)C,1.05,3.99
c1cc(ccn1)c1ccnc(c1N)N,0.72,3.91
c1c(c2c(cc1)nccn2)NC,1.1,3.93
c1c(c2c(cc1)nc(cn2)N)N,0.9,3.9
c1c(c2c(c(c1)NC)nccn2)C,1.11,3.69
c1(c(c2c(cc1)nccn2)C)NC,1.11,3.99
c1(cc2c(cc1)nc(cn2)NC)NC,0.93,3.5
c1c(c2c(cc1)ncc(n2)NC)NC,0.83,3.52
c1cc(ccn1)c1cc(ncc1C)N(C)C,0.75,3.94
C(=O)(OCc1ccccc1)C1=C[S]=C(S1)C1=[S]C=CS1,1.02,3.35
c1(c(c2c(cc1)nccn2)C)N(C)C,1.13,3.94
C\1(=C/2\SC3=C(S2)SCCS3)/SC2=C(S1)SCCS2,0.64,3.33
