SMILES,Affinity,Ionization
c1(c2nc3c(cc2)cccc3)nc2c(cc1)cccc2,1.21,4.85
c12c3c(ccc1[N]c1c([CH]2)cc(cc1C)C)cccc3,1.09,4.34
c1(c2c(cc3c1cccc3)cccc2)C(=O)C,1.41,4.12
c12c3c(sc1cc1c(c2)cccc1)cccc3,0.72,4.17
C(=S)(C(C)(C)C)C(C)(C)C,1.21,4.56
c12c3c(ccc1nccc2)cccc3,0.69,4.74
C(=O)(c1ccccc1)[Si](C)(C)C,1.12,4.76
c1(c2ccccc2)cc2c(cc1)cccc2,0.54,4.41
c12c3c(cc(c1cccc2)C#N)cccc3,1.11,4.85
S(c1ccc(cc1)C#N)c1ccccc1,0.94,4.66
O(C)c1c(Cl)c(Cl)ccc1,1.38,4.81
c12c(c3c(s2)cccc3)ccc2c1cccc2,0.53,4.31
O(C)c1cc(C=O)ccc1O,0.93,4.75
C(=N\c1ccccc1)/c1ccccc1,1.06,4.48
S([C@]1(F)C(=O)CCCC1)c1ccccc1,1.47,4.93
Nc1c(Cl)cccc1Cl,1.35,4.4
S(C#N)c1cc(C)c(cc1)O,1.32,4.71
Sc1c(Cl)ccc(c1)Cl,1.41,4.94
FC1=Cc2c(CC1)n1c(c3c2cccc3)nnn1,0.93,4.55
O(c1c(Cl)cc(cc1)Cl)c1c(O)cc(cc1)Cl,1.2,4.7
c1(c2ccccc2)cc(c(cc1)Cl)Cl,0.54,4.86
C(=O)(O)[C@H]1c2c3c([C@@H]1C(=O)O)cccc3ccc2,0.5,4.54
S([C@@H]1C(=O)CCCC1)c1ccccc1,1.36,4.51
Nc1c2c(cc(cc2O)S([O])([O])O)cc(c1)S([O])([O])O,1.28,4.25
C(SCC(=O)OCC)c1ccccc1,0.82,4.94
c12c3C4=Cc1cccc2ccc3[CH][CH]C=C4,1.47,4.01
O=C1N(c2c(C1)cccc2)c1c(Cl)cccc1Cl,1.24,4.7
[C@H](Sc1ccccc1)(C(F)(F)F)c1ccccc1,1.34,4.76
[CH](N(C(C)(C)C)[O])c1ccccc1,0.69,4.38
C(=CCl)(c1ccccc1)c1ccccc1,0.68,4.62
O(P(OC)(OC)[S])c1cc(C)c(cc1)SC,0.69,4.3
O=c1c2c(oc(c1)c1cc(O)c(cc1)O)cc(cc2O)O,1.2,4.57
S(c1ccc(cc1)[S@](=O)C)c1ccccc1,0.64,4.51
Cc1c2c(c3c(cc2)c(C)ccn3)ncc1,0.75,4.82
S(CCCS([O])([O])O)C(=S)N(C)C,0.69,4.72
c1(/C=N/c2ccc(cc2)Cl)ccc(cc1)OC,0.99,4.36
C(=C\c1ccc(cc1)O)\c1cc(O)cc(c1)O,0.63,4.08
C(=O)(N(O)c1ccccc1)c1ccccc1,1.14,4.6
[C@H](Cc1ccccc1)(S)c1ccccc1,1.3,4.86
[C@]12(C(=S)C([C@@H](C1)CC2)(C)C)C,1.14,4.7
C(=C\c1ccccc1)(/F)\c1ccccc1,0.84,4.41
C(=NO)(c1ccccc1)c1ccccc1,0.68,4.77
S(C#CSc1ccc(cc1)C)c1ccc(cc1)C,0.83,4.24
c1(c(cccc1)O)C(=O)OC,0.79,4.98
C(=O)(Nc1ccccc1)c1cc2c(cc1O)cccc2,1.12,4.38
c1(OCc2ccccc2)ccccc1,1.0,4.66
c1(c(cc(cc1C)C)C)[C][N][O],0.99,4.82
c12c3C(=O)Cc1cccc2ccc3,1.28,4.75
c1(c(n2c(c1C)cccc2)C=O)c1ccccc1,0.75,4.07
[S@@](=O)(C(C)(C)C)c1ccccc1,0.85,4.72
O=c1c2c(c3c(o1)cccc3)oc1c2cccc1,1.11,4.77
O=C1N(N=C([C@@H]1C(=O)c1ccccc1)C)c1ccccc1,1.29,4.62
C(=C(\[S@](=O)C)/SC)/c1ccc(cc1)OC,0.85,4.28
S(=O)(=O)(CC)c1cc2c(cc1)cccc2,0.86,4.92
c1(c2ccccc2)[nH]c2c(n1)cccc2,0.59,4.48
c12c(ccc(c1)C(=O)C)cccc2,1.13,4.74
c1(ccccc1)SCC=C,1.33,4.44
N(CC(C)C)(CC(C)C)C(=S)S,0.77,4.44
c1(/C=C/c2ccccc2)ncccc1,0.96,4.39
[O]n1c2c(n(c(c1C)C)[O])CCCC2,0.84,4.41
C(=O)(OCC)[C@H]1N(C(=O)[C@H]1C)c1ccc(cc1)OC,1.03,4.22
[O]n1c(cn(c2c1CCCC2)[O])c1ccccc1,1.09,4.49
C(=O)(OC)c1cc2c(cc1)cc(cc2)C(=O)OC,1.37,4.94
c1(c2ccccc2)sc(cn1)c1ccccc1,1.06,4.33
O(C)c1ccc(cc1)c1nc(n(n1)c1ccccc1)c1ccccc1,0.66,4.33
[C@]12(c3ccccc3)N=N[C@H](CC1)CC2,0.59,4.45
c1(c(c2c(n1C)cccc2)C(=O)C)c1ccccc1,0.7,4.37
C(/N=N/c1ccccc1)(C)(C)C,1.2,4.42
c12c3c(cc(c1cccc2)C=O)cccc3,1.41,4.74
c12c(ccc(c1)N(CC)CC)ccc(=O)o2,0.85,4.0
c1(ccc(cc1)OC)C#CSc1ccccc1,0.63,4.06
c1(N([CH]c2ccccc2)[O])ccccc1,1.22,4.43
c12c3c(sc2ccc2c1cccc2)cccc3,0.65,4.34
c1(c(C(=O)O)ccc(c1)N)O,0.56,4.48
c1(c(cccc1)Cl)C(=S)N,1.28,4.7
c1(c(c(cc(c1)C)C)C(=O)C)C,0.59,4.99
c12c3SCSc1cccc2ccc3,0.58,4.06
c1(C(=S)N(C)C)ccccc1,1.08,4.38
c1(/C=C/C(=O)C)ccc(cc1)C,1.34,4.83
c12c3[Si](C=Cc1cccc2ccc3)(C)C,0.81,4.25
c1([CH]N([O])C)ccc(cc1)OC,0.6,4.09
c1(c(nc(c(n1)C#N)C#N)N(C)C)N(C)C,1.38,4.16
c1(C(=O)/C=C/c2ccccc2)ccc(cc1)O,1.48,4.92
c1(C(=O)COc2ccccc2)ccccc1,1.25,4.65
c12c3c(cnc1[CH][S]=C2)csc3,0.85,4.55
N1(C(N([C](C1(C)C)C)[O])(C)C)N=O,0.97,4.96
c12c3c(c(ccc3)C)ccc1cc1c(c2)cccc1,0.86,4.05
c12c(cc(cc2)C)ccc(n1)C,0.61,4.79
C(SSC(C)(C)C)(C)(C)C,1.33,4.29
c12c(OP(O1)OC)cccc2,0.69,4.64
[C@H]12[C@H]([C@@H]3C([C@H]1[N][N]3)(C)C)[C@@H]1C[C@H]2CC1,0.56,4.86
C1(=C[CH]C=CN1[O])c1ncccc1,1.04,4.72
c1(c(c2ccccc2)nc(s1)c1ccccc1)c1ccccc1,0.99,4.24
c12c3c(Cc1cc1c(c2)cccc1)cccc3,0.54,4.27
[C](c1ccccc1)(c1ccccc1)[C][O],1.3,4.23
c1(c2ncccc2)[nH]c2c(n1)cccc2,0.83,4.63
c12[C](c3ccccc3)N(CC(=Nc1ccc(c2)Cl)NC)[O],0.96,4.15
c12c3c4c(c1cccc2ccc3)[n]c1c([n]4)cccc1,1.32,4.78
c12c(c(c3c(n2)ccc(c3)C)C)ccc2c1cccc2,1.08,4.32
C(=C\c1ccccc1)(/c1ccccc1)\C#N,1.4,4.66
C1(=O)C(=C(C)C)CC[C@H](C1)C,0.63,4.97
S(c1ccc(cc1)C)C(C)(C)C,0.83,4.36
c12c3c(ccc1cccc2C=CC3=O)N(C)C,1.44,4.09
c12n(c(C(=O)OCC)cc(=O)c1cccc2)CC,1.36,4.71
c1cc2c(cc1)ncc(n2)N(C)C,0.96,4.21
P(SCC)(SCC)SCC,1.12,4.47
c12c(c(c3c(c1Cl)cccc3)Cl)cccc2,1.37,4.19
c1(cc2c(cc1)nc(cn2)C=C)C=C,1.45,4.72
C(SSC(C)C)(C)C,1.35,4.41
c1c(c(ccn1)c1ccncc1)NC,0.84,4.2
c1c(c2c(c(c1)C)nccn2)c1ccccc1,1.2,4.61
c1(cc2c(cc1)nccn2)OC,1.16,4.91
c12c3c(ccc1cc1c(n2)ccc(c1)C)cccc3,1.11,4.4
c1cc(ccn1)c1ccnc(c1OC)OC,0.91,4.55
c1(c2ccccc2)oc(nn1)c1ccccc1,0.96,4.87
C1[C@H](C[C@H](SC1)C(=O)O)C,1.08,4.88
c1(cc(ccn1)c1ccncc1)N(C)C,0.92,4.1
c1(cc2c(cc1)nccn2)C=C,1.39,4.92
c1(cc(ccn1)c1ccncc1OC)OC,0.97,4.96
c1cc(c(cn1)C)c1ccncc1N(C)C,0.64,4.1
c1c(c2c(cc1C)nccn2)c1ccccc1,1.2,4.72
c1(cc2c(cc1)nccn2)NC(=O)C,1.35,4.89
c1c(c2c(cc1)nccn2)OC,1.28,4.59
c1c(c2c(cc1)nccn2)C=C,1.37,4.76
c1cc(ccn1)c1cc(ncc1C)C=C,0.9,4.96
c1cc(cc(n1)N(C)C)c1ccnc(c1)C,0.88,4.09
c1(cc(ccn1)c1ccncc1)c1ccccc1,1.09,4.97
c1c(c2c(c(c1)NC(=O)C)nccn2)C,1.35,4.62
c1cc(c(cn1)OC)c1ccncc1OC,0.69,4.94
c1cc(ccn1)c1cc(ncc1C)NC,0.79,4.12
c1cc(ccn1)c1cc(ncc1C)N,0.81,4.32
c1cc2c(cc1)ncc(n2)c1ccccc1,1.33,4.96
c1(cc2c(cc1)nccn2)c1ccccc1,1.31,4.87
c1(cc(ccn1)c1ccncc1N)C,0.75,4.37
c1(cc(ccn1)c1ccncc1)N,0.97,4.52
c1c(c(ccn1)c1ccncc1)N,0.8,4.38
