SMILES,Affinity,Ionization
C1(=O)[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3,-0.89,5.27
C1C(CC(=O)C=C1OC)(C)C,0.38,5.2
C(#N)[C@H]1c2c(CCN1CC(F)(F)F)cccc2,-0.22,5.07
S(=O)(=O)(C(F)(F)F)[N]S(=O)(=O)C(F)(F)F,-0.72,5.83
Fc1c(F)cc(c(c1)F)F,0.33,5.58
P(=O)(O)(O)c1ccccc1,0.34,5.81
C(=O)(O)[C@@H]1CC[C@H](C=C1)C(=O)O,-0.05,5.44
[C@H](C(=O)OCC)(O)c1ccccc1,0.08,5.34
[Si](C)(C)(C)N1C(=O)OCC1,-0.67,5.36
[C@](CC=C)(C)(O)c1ccccc1,-0.58,5.19
N(C(=O)OCC)C1CCCCC1,-0.96,5.36
N(C(=O)CCc1ccccc1)C1CCCC1,-0.58,5.14
C(N(C(=O)OCC)C)c1ccccc1,-0.46,5.06
C(=O)(CCC(=O)C)CCCCC,0.29,5.66
C(C(=O)O)(C(=O)O)c1cccs1,0.39,5.02
O[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,-0.9,5.42
O=c1n(c(=O)nc(n1C)N(C)C)C1CCCCC1,0.45,5.19
C([C@@H]1N(C(=O)C)C(=O)OC1)c1ccccc1,0.14,5.39
O=C1[C@H]2[C@@H](CCC1)CCCC2,-0.09,5.39
C(C(=O)O)(O)(c1ccccc1)c1ccccc1,0.33,5.18
C(NC(=O)OCC)C1CCCCC1,-0.77,5.39
[Si](CCCS)(OC)(OC)OC,-0.64,5.34
C(=O)(CCC)N1[C@@H](COC1=O)c1ccccc1,0.09,5.34
[C@H](CC=C)(O)c1cc(C)ccc1,-0.24,5.02
C(=O)(CCCC)N1CCCC1,-0.84,5.06
C1COCCCOCCOCCCOC1,-0.93,5.36
C(COCCO)(COCCO)(COCCO)CC,-0.74,5.6
C(=O)([C@H](C)O)N1[C@@H](C(C)C)COC1=O,0.4,5.95
C(=O)(CCc1ccccc1)N1CCOCC1,-0.58,5.04
C(NC(=O)OCC)c1ccccc1,-0.35,5.22
C[C@]12[C@@H](CC(=O)CC1)CCCC2,-0.05,5.46
O([C@]1(CO)O[C@@H]([C@H]([C@@H]1O)O)CO)[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,-0.2,5.02
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,-0.38,5.17
P(F)(F)(c1ccccc1)(c1ccccc1)c1ccccc1,0.37,5.64
C(=O)(CCC=C)N1CCCC1,-0.87,5.13
[C@H](C(=O)CCC(=O)C)(C)c1ccccc1,0.18,5.1
