SMILES,Affinity,Ionization
N1(c2cc(c(cc2)Cl)Cl)C(=O)C=CC1=O,2.1,5.2
c1(c(N(=O)=O)cccc1)c1ccccc1,1.95,5.18
C(C(=O)CC(=O)C)(F)(F)F,1.53,5.91
c12c(C(=O)c3c(C1=O)cccc3)c(ccc2Cl)Cl,2.28,5.63
c1(N2C(=O)C=CC2=O)cc(N(=O)=O)ccc1,2.15,5.54
C(N1C=C(C(=O)N)CC=C1)c1ccccc1.[Cl],1.87,5.33
O=C1c2c(C(=O)C=C1F)cn(c2)C,2.28,5.25
C(=O)(NC(=O)OCC(Cl)(Cl)Cl)c1ccccc1,2.37,5.62
S(=O)(=O)(N1C(=O)CCCC1)c1ccc(cc1)C,1.55,5.41
[C@H](CC=C)(O)c1c(N(=O)=O)cccc1,1.97,5.39
O=C1c2c(C(=O)N1O)cccc2,1.84,5.49
CC1=C(C)C(=O)C(=C(C1=O)C)C,2.35,5.5
COc1cccc(c1)N(=O)=O,1.9,5.39
ClC1(Cl)C(C1)(c1ccccc1)c1ccccc1,1.74,5.11
S(C(=O)C(=O)Sc1ccccc1)c1ccccc1,2.01,5.4
C(C(C)C)c1ccc(cc1)[C@@H](C)Cl,2.31,5.12
S(=O)(=O)(/C(=C(/S(=O)(=O)c1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,2.16,5.82
[C@H](C(SN=O)(C)C)(NC(=O)C)C(=O)O,2.29,5.08
S(=O)(=O)(c1c(O)c(C#N)c(c(c1)O)C#N)c1ccccc1,2.01,5.31
O=C1c2c(cn(c2)C)C(=O)C=C1,2.16,5.13
P(=O)(O[C@@H](C(=O)C)c1ccccc1)(OCC)OCC,2.28,5.33
Cl[C@@]12[C@@H]3[C@H]([C@@](C1(Cl)Cl)(C(=C2Cl)Cl)Cl)[C@H]([C@H](C3)Cl)Cl,2.39,5.66
N(=O)(=O)c1c(C)c(C)c(c(c1C)C)N(=O)=O,2.09,5.53
C(ON(=O)=O)c1ccc(cc1)Cl,2.19,5.51
c1(c(c(ccc1)C)C)N(=O)=O,1.84,5.51
Cl[O].[O].[O].[O].c1(c2=C[CH]C=Cn2n(n1)c1ccccc1)c1ccccc1,1.64,5.11
c1(cc(N(=O)=O)ccc1)NC(=O)c1ccccc1,2.06,5.11
S(=O)(=O)(F)c1c(C)c(C)c(c(c1C)C)C,2.14,5.04
c1(nnc(nn1)SC)SC,2.3,5.05
c12c(ccc(c1)N(=O)=O)ccc(c2)N(=O)=O,2.22,5.47
c1(cc(N(=O)=O)ccc1)[S@@](=O)C,2.2,5.29
c1(OC(=O)c2ccccc2)ccc(cc1)N(=O)=O,1.99,5.74
O=C1c2c(C(=O)c3c1cccc3O)c(O)cc(c2)CO,2.38,5.17
c12c(C(=O)C=CC2=O)cccc1OC,2.4,5.13
c1(C(=O)/C=C/c2ccc(cc2)N(=O)=O)ccccc1,2.37,5.4
[C@]12(C([C@@H](C(=O)C1=O)CC2)(C)C)C,1.81,5.06
c1(C(=O)c2ccccc2)cc(N(=O)=O)ccc1,2.11,5.64
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c1ccccc1,1.57,5.34
c12c(cc(cc1cccc2)N(=O)=O)N(=O)=O,2.38,5.46
c1cc2c(cc1)C(=O)c1c(C2=O)c(c(cc1)C)CC,2.04,5.4
c1(ccc(cc1)C#N)/C=C/C(=O)OC,1.66,5.4
c1(c2ncncc2)ncncc1,1.59,5.87
