SMILES,Affinity,Ionization
[C]1(c2c([C](c3c1nsn3)c1sccc1)nsn2)c1sccc1,2.64,3.75
N(C)(C)c1cc2c(cc1)N=c1c(=[S]2)cc(c(c1)C)N.[Cl],2.87,3.99
[C](C#N)(C#N)c1ccc(cc1)[C](C#N)C#N.C1(=[S]C=CS1)C1=[S]C=CS1,3.45,3.26
c12c(C(=O)c3c(C2=O)cccc3)oc2c1ccc1c2C=C[CH][CH]1,2.53,0.65
c1[c]c(ccn1)c1cc(ncc1[C](O)O)C(=O)O,2.63,2.74
c1cc(c(cn1)C(Cl)(Cl)Cl)c1ccnc(c1)C,2.59,0.95
C1=NC=C[C]([C@H]1[N]C(=O)C)c1ccncc1C,3.37,3.93
[CH][N][CH][C@H]1C=C1c1cc(ncc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.69,3.91
C1CC[C@@]([S])(N[C]1C)C.[CH]O,3.48,3.67
C[C]1[C]2[CH][C]([C]([C]1C)C)CCc1cc(CC2)c(C)cc1C,3.34,0.41
FC1=C[C@H]2[C@@H]([CH][CH]1)n1c(c3c2cccc3)nnn1,3.36,2.61
C1(=C(C(=O)c2c(C1=O)cccc2)Cl)CN(c1ccc(cc1)OC)C,2.64,3.52
C1(=C(C(=O)c2c(C1=O)cccc2)Cl)N(CCN(c1ccccc1)C)C(=O)C,2.8,3.78
C1=C(C(Cl)(Cl)Cl)S/C(=C\2/SC=C(C(F)(F)F)S2)/S1,2.81,3.65
C1=C(C(Cl)(Cl)Cl)S/C(=C/2\SC=C(O)S2)/S1,2.84,3.4
CCC1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,2.85,3.38
C#CC1=C(N(=O)=O)S[C](C2=[S]C=CS2)S1,2.53,3.61
COC1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,3.11,3.39
C1=C(C(Cl)(Cl)Cl)S/C(=C/2\SC=C(C(Cl)(Cl)Cl)S2)/S1,2.81,3.65
C1=C[S]=C([C]2SC(=C(F)S2)C(Cl)(Cl)Cl)S1,2.75,3.5
C1=C[S]=C([C]2SC(=C(N(=O)=O)S2)C(F)(F)F)S1,2.68,3.7
CC1=CSC(=[S]1)[C]1SC=C(C(Cl)(Cl)Cl)S1,2.85,3.38
CC(=O)c1ccc2c(c1Cl)[nH]s[nH]2,2.7,3.5
Cn1ccc(=c2ccn(CCl)c(c2)C(Cl)(Cl)Cl)cc1,3.35,2.61
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4on1c1ccccc1)c(=O)n(c3=O)C)on2c1ccccc1)C,2.65,3.69
C=CC1=C(C(Cl)(Cl)Cl)S/C(=C/2\SC=CS2)/S1,3.24,3.39
COCCOCCOC1=C(C(Cl)(Cl)Cl)S[C](C2=[S]C=CS2)S1,2.64,3.37
C1=C(C(Cl)(Cl)Cl)S/C(=C/2\SC=C(Cl)S2)/S1,2.83,3.55
COCCOC1=C(C(Cl)(Cl)Cl)S[C](C2=[S]C=CS2)S1,2.7,3.33
C#Cn1c2cccc(c2[nH]s1)C(Cl)(Cl)Cl,2.79,3.54
CC(=O)n1c2ccc(cc2[nH]s1)F,2.84,3.81
C=CC1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,2.84,3.45
COCCOC1=CS/C(=C/2\SC=C(C(Cl)(Cl)Cl)S2)/S1,2.91,3.41
C=Cn1c2ccccc2[nH]s1,2.69,3.37
C#Cn1c2cccc(c2[nH]s1)O,2.77,3.59
c1cc(c2c(c1)n(C#N)s[nH]2)C(=O)O,3.27,3.9
c1cc2c3c4c1c(=O)n1c(c4ccc3c3c4c2ccc2c4c(cc3)c3n(c2=O)c2c(n3)cc(c(c2)OC)OC)nc2c1cc(c(c2)OC)OC,2.5,3.95
Cn1c2cc(ccc2[nH]s1)C(Cl)(Cl)Cl,2.68,3.38
CC(=O)n1c2cc(ccc2[nH]s1)OC,2.86,3.61
CC(C)(C)C1=CS/C(=C/2\SC=C(C(Cl)(Cl)Cl)S2)/S1,2.95,3.36
CC(=O)n1c2cccc(c2[nH]s1)NC,2.66,3.73
C1=C[S]=C([C]2SC(=C(N(=O)=O)S2)C#N)S1,2.89,3.75
C1=C[S]=C([C]2SC(=C(C(F)(F)F)S2)C(Cl)(Cl)Cl)S1,3.07,3.54
COCCOCCOC1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,2.84,3.45
CN(C)C1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,2.84,3.19
C#Cn1c2ccc(cc2[nH]s1)C(F)(F)F,3.25,3.76
C=Cc1ccc2c(c1)[nH]sn2C=C,2.73,3.39
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)c(C)cc1C,3.44,0.46
