SMILES,Affinity,Ionization
c1(C(=O)OC)ccc(cc1)C#N,1.43,6.11
Fc1c(F)c(F)c(c(c1F)F)F,1.08,6.07
C(=O)(O)c1c(F)c(F)c(c(c1F)F)F,1.44,6.02
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)c1ccc(cc1)C#N,1.23,6.39
C(C(C(F)F)(F)F)(C(C(=O)O)(F)F)(F)F,1.05,7.54
C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.02,7.76
C(=O)(OCCOC(=O)C(=C)C)C(=C)C,0.61,6.02
c1(c(c(c(c(c1F)F)F)F)F)C(=O)C,1.44,6.02
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1.35,8.82
[C@@H]1(C[C@H](CSC1)C(=O)O)C(=O)O,1.14,6.17
C(c1cc(ccc1)C#N)(F)(F)F,0.99,6.26
[C@](OC(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(=O)O)F,1.08,7.63
C(=O)(O)c1cc(C(=O)O)cc(c1)C(=O)O,1.43,6.27
O=C1c2c(S(=O)(=O)N1C)cccc2,1.37,6.1
C(C(F)(F)F)(C(F)F)(F)F,0.97,8.18
C(C(F)(F)F)(C(F)(F)F)C(=O)O,0.64,7.54
C(F)(F)(F)c1cc(C(=O)O)ccc1,1.11,6.18
FC1(F)C=CC(C=C1)(F)F,1.37,6.74
C(=O)(O)c1cc(C(=O)O)cnc1,1.37,6.02
C(C(C(F)F)(F)F)(C(CCC(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.1,8.13
C(F)(F)(F)c1c(C(=O)O)cccc1,1.22,6.06
CN1C(=O)N(C)C(=O)CC1=O,0.6,6.13
C(C#N)(C#N)[C@@]12[C@H]3[C@@H](C[C@@H]1CC(C2)(C)C)C(=O)OC3,0.64,6.35
C(=C)(CC(=O)OC)C(=O)OC,0.83,6.18
S([O])([O])(O)c1ccccc1,1.38,6.14
O=S1(=O)c2c(C(=O)N1)cccc2,1.47,6.37
C(=O)(O)[C@@H]1[C@@H](C(=O)O)[C@@H](C(=O)O)[C@H]([C@H]([C@@H]1C(=O)O)C(=O)O)C(=O)O,0.82,6.44
O(S(C)([O])[O])[C@H]1C[C@H](OS(C)([O])[O])CCC1,1.44,6.42
[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)(OCC)OCC,1.22,6.02
c1(c(c(nc(c1F)F)F)F)F,1.28,6.18
c1(C(=O)Cl)ccc(cc1)F,1.46,6.01
c1c(C(F)(F)F)ncc(Cl)n1,1.47,6.36
C(S1(O[Mg]O1)[O])(F)(F)F,1.46,7.31
COCCOCCOC.[N]1[S@@]([O])(O[Zn]O[S@@]1([O])C(F)(F)F)C(F)(F)F,1.44,7.26
[N]([S@@]([O])(O[Mg]O[CH]N(C)C)C(F)(F)F)S(=O)(=O)C(F)(F)F,0.91,6.87
COC(OC)C.[N]1[S@@]([O])(O[Ca]O[S@@]1([O])C(F)(F)F)C(F)(F)F,0.6,7.05
CC#N.[N]1[S@@]([O])(O[Mg]O[S@@]1([O])C(F)(F)F)C(F)(F)F,1.0,6.87
COC(OC)C.[N]1[S@@]([O])(O[Mg]O[S@@]1([O])C(F)(F)F)C(F)(F)F,1.09,7.4
COCCOCCOCCOCCOC.[N]1[S@@]([O])(O[Zn]O[S@@]1([O])C(F)(F)F)C(F)(F)F,1.0,6.51
C1COCC1.[N]1[S@@]([O])(O[Mg]O[S@@]1([O])C(F)(F)F)C(F)(F)F,1.44,7.43
C#C[C@H]1CCCC[C@H]1N(=O)=O,1.4,6.44
CC[C@@H]1CCC[C@@H](C1)N(=O)=O,1.41,6.64
CO[C@@H]1CCCC[C@@H]1N(=O)=O,1.33,6.03
CC[C@H]1CCCC[C@H]1N(=O)=O,1.3,6.68
c1c(C(F)(F)F)ncc(F)n1,1.4,6.53
c1cnc(c(C(F)(F)F)n1)F,1.46,6.51
C#Cc1c(C(F)(F)F)nccn1,1.37,6.07
C#Cc1cncc(C(F)(F)F)n1,1.49,6.07
c1cnc(c(C(F)(F)F)n1)C(F)(F)F,1.48,6.47
c1cnc(c(C(F)(F)F)n1)Cl,1.44,6.33
[N]1[P@](C(F)(F)F)(F)O[Mg]O[S@@]1([O])C(F)(F)F,1.43,6.9
CC(=O)c1ccc2c(c1)ON(C(C)(C)C)O2,0.5595782118472789,8.628961615022716
N([C@@H](C(F)(F)F)OC)(c1ccccc1)c1ccccc1,1.3273983995662353,7.690092883800501
N(CC(F)(F)F)(CC)c1ccccc1,1.1771505695083344,6.583985041045309
