SMILES,Affinity,Ionization
c12N(c3c(Cc1cccc2)cccc3)C,-0.45,3.7
c12c(CCc3c(N1)cccc3)cccc2,-0.53,3.7
N1([C@@H]2CCC[C@H]1CCC2)N(C)C,-1.01,2.92
c12c(n(c3c(n1C)cccc3)C)cccc2,-0.66,3.01
c1(c2ccccc2)cn2c(c1)cccc2,0.19,3.76
c12c(Nc3c(O1)cccc3)cccc2,-0.42,3.47
[N]([Si](C)(C)C)[Si](C)(C)C,-0.78,2.86
N1(C2=CCCCC2)CCOCC1,-0.89,3.43
C(N(C(C)(C)C)/N=N\N(C)C)(C)(C)C,0.18,3.49
c12N(c3c(Sc1cccc2)cccc3)C,-0.17,3.6
CC1=C(C)S/C(=C/2\SC(=C(S2)C)C)/S1,0.28,3.08
N(c1ccccc1)c1ccccc1,-0.43,3.85
c1(Sc2ccc(cc2)N)ccc(cc1)N,-0.36,3.57
C(Nc1ccccc1)c1ccccc1,-0.4,3.88
Nc1ccccc1.O(C)c1c(N)cccc1,-0.43,3.86
Oc1c2c(c(cc1)O)cccc2,0.37,3.88
Cn1ccc(=c2ccn(cc2)C)cc1,-0.35,1.85
CC1(C)Oc2c(O1)cc1c(c2)OC(O1)(C)C,-0.46,3.52
C(=N\Nc1ccccc1)/c1ccc(cc1)OC,0.41,3.63
N(CC)c1ccc(cc1)NCC,-0.68,2.98
Nc1c2c(c(cc1)c1c3c(c(cc1)N)cccc3)cccc2,0.23,3.44
C(C(F)(F)F)N1c2c(CCC1)cccc2,-0.82,3.9
C1(=[S]C=CS1)/C=C/C1=[S]C=CS1,0.42,3.03
c1([P][CH]N(C)C)ccccc1,0.39,3.54
c1(c(cc(cc1)OC)N)OC,-0.73,3.54
N(Nc1ccccc1)c1ccccc1,-0.44,3.33
Cc1c(C)c(N)c(c(c1N)C)C,-0.84,3.01
Nc1cc(ccc1N)c1cc(N)c(cc1)N,-0.08,3.12
N(C)(C)c1cc2c(cc1)Nc1c(S2)cc(cc1)N(C)C,-0.41,2.77
N1(C(=O)N(C)C)C=CC(C=C1)(C)C,-0.68,3.89
C(N(CC)CC)c1ccccc1,-0.52,3.91
[C@H]12[C@H]([C@H]3C[C@@H]1C=C3)N(N2C)C,-0.99,3.19
c12c(c(ccc1OC)OC)cccc2,0.13,3.79
N(CCNCC(=O)O)(CC(=O)O)CC(=O)O,-0.03,3.98
c1(Cc2ccc(cc2)N)ccc(cc1)N,-0.55,3.76
CN1C2=NCCCN2CCC1,-0.92,3.76
[Si](O/C=C\O[Si](C)(C)C)(C)(C)C,-0.71,3.74
Cc1cc(cc(c1N)C)c1cc(C)c(c(c1)C)N,-0.59,3.28
c1(ccc(cc1)N(C)C)NC(=O)C,-0.61,3.47
c1(c(c(cc(c1)C)C)N(C)C)C,-0.9,3.66
N([N][N]N(CC(C)C)C)(CC(C)C)C,-0.15,3.21
c1(c(cc(c(c1)C)OC)C)OC,-1.15,3.86
CN1c2c([Si](c3c1cccc3)(C)C)cccc2,-0.21,3.83
c12c(ccc(c2)OC)cccc1OC,0.2,3.93
N12CCCN(CCC1)CCC2,-0.98,2.71
c1(c(cccc1)OC)N(C)C,-0.77,3.5
N12[C@H](CCCN1C)CCCC2,-0.95,3.09
c12c(c3c(c(c2)N)cccc3)ccc2c1cccc2,0.44,3.63
c12c(Sc3c(N2)cccc3)cccc1C=C,0.49,3.51
c12C(c3c(N(c1cccc2)C)cccc3)CC,-0.46,3.68
c1(c(ccc(c1)OC)OC)OC,-0.82,3.92
c1(Nc2ccc(cc2)N)ccc(cc1)N,-0.51,3.0
c12c(ccc(c1)Nc1ccccc1)cccc2,0.32,3.74
c1(N(CCC)CCC)ccccc1,-0.93,3.67
c1(c2c(ccc1)cccc2)Nc1ccccc1,0.39,3.72
c1(c(N(C)C)cccc1)N(C)C,-0.85,3.35
c12c(ccc(c1)N(C)C)cccc2,0.14,3.59
c12c(N(C)C)cccc2cccc1N(C)C,0.09,3.26
N(CC(C)C)(C(C)C)C(C)C,-0.93,3.7
C(N1BN(C=C1)C(C)(C)C)(C)(C)C,-0.96,3.71
P(P(CC)CC)(CC)CC,-0.73,3.79
[C@@H]12[C@H]3[C@@H]4[C@H]5[C@H]([C@@H]1C[C@@H](C3)C5)C[C@H](C2)C4,-0.88,0.5
N(N(C(C)(C)C)C)(C(C)(C)C)C,-0.96,3.5
c1(c(c(cc(c1C)O)C)O)C,-0.79,3.95
[Si](OC1=C(CCCC1)C)(C)(C)C,-0.68,3.83
N1(C=C(C(=O)N)CC=C1)Cc1ccccc1,0.33,3.69
C1(c2c(N(c3c1cccc3)C)cccc2)(C)C,-0.62,3.73
[C@@H]1(CC[C@H](SC1)C)N(C)C,-0.84,3.81
C1C[C@H]([C@H](SC1)N(C)C)C,-0.91,3.91
C1[C@H](C[C@H](SC1)N(C)C)C,-0.88,3.97
Cc1c(C)c(O)c(c(c1O)C)C,-0.78,3.87
C/C(=N/c1ccc(/N=C(/C)\O)s1)/O,0.37,3.78
C1[C@H](C[C@H](SC1)C)N(C)C,-0.86,3.89
CN(C)c1ccc(N(C)C)s1,-0.87,2.72
C1[C@H]([C@H](CSC1)N(C)C)C,-0.77,3.77
C1C(CCSC1)(NC)NC,-0.78,3.86
N(CC(F)F)(c1ccccc1)c1ccccc1,-0.34,3.99
C1[C@H]([C@H](CSC1)C)N(C)C,-0.83,3.86
C1[C@H](C[C@H](SC1)NC)NC,-0.67,3.68
C1C[C@](CSC1)(N(C)C)C,-0.91,3.78
C1CC(CSC1)(N(C)C)N(C)C,-0.83,3.54
C1C[C@](CSC1)(C)N(C)C,-0.89,3.88
[C@@H]1(CC[C@H](SC1)N(C)C)N(C)C,-0.8,3.82
