SMILES,Affinity,Ionization
c12c(c3c(s2)cccc3)[nH]c2c1[CH][CH]C=C2,4.49,3.8
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)ccc1,3.59,0.49
Clc1cc(ccc1)N1CCNCC1.Cl.Cl,3.96,3.87
c12c(c3c([nH]2)c2c(cc3)C=C[CH][CH]2)ccc2c1cccc2,4.28,0.03
c12c(c3c(c4c1[CH][CH][CH][CH]4)cccc3)ccc1c2cccc1,4.58,0.32
c12c3c(cc4c(c3)C=C[CH][CH]4)ccc1cc1c(c2)ccc2c1cccc2,4.79,0.11
c1cc([c]cn1)c1c(cnc(c1)N(=O)=O)N(O)[O],3.97,3.62
C1=[S][CH]C2=C=C[CH][CH][CH][CH][CH][CH][CH][CH]C=C=C12,3.52,2.98
[CH][N]/C=C\[C](Cl)Cl.C(#C[C](/C=C/[N][CH])Cl)Cl.[C]=C(Cl)Cl,4.37,3.73
O=C1C2=C(Cc3c(C2)[nH]c2c(c3=O)cccc2)N[C]2[C]1[CH][CH][CH][CH]2,4.86,0.24
C[C]1[C]2[CH][C]([C]([C]1C)C)CCc1cc(CC2)ccc1,3.5,0.42
c12c(c3c4c5c1cccc5ccc4ccc3)c1c3c4c2cccc4[CH][CH]c3ccc1,4.69,3.96
c12[c]c(ccc2ccc2c1c1c(cc2)cccc1)/C=C/c1[c]cccc1,3.73,2.38
c12c(c3c4c(c2)CCCN4CCC3)OC(=O)[CH][C]1C(F)(F)F,4.53,0.67
CC(=O)c1ccc2c(c1)[nH]sn2OCCOC,3.99,3.98
CC1=CC=C2[CH][C]1CCc1cc(CC2)ccc1C,3.55,0.53
c12c(C(=C([C]([C]1F)F)F)F)cc1c(c2)cc2c(c1)cc1c(c2)sc(c1)F,4.52,0.88
C12=CC=CC1=C([CH][CH]C=C2C)C,3.73,3.73
CC(=O)c1ccc2c(c1)[nH]sn2OC,3.97,3.98
C/C(=N/C1=C(C(Cl)(Cl)Cl)S[C](C2=[S]C=CS2)S1)/O,3.57,3.26
CC(=O)c1cccc2c1[nH]sn2C(Cl)(Cl)Cl,4.31,3.65
c1cc(c2c(c1)[nH]sn2N(=O)=O)C(Cl)(Cl)Cl,3.97,3.05
CC(C)(C)c1cccc2c1n(N(=O)=O)s[nH]2,3.71,2.94
C/C(=N/c1cccc2c1[nH]sn2OCCOCCOCCOC)/O,3.51,3.73
CN(C)c1cc2c(cc1C(Cl)(Cl)Cl)[nH]s[nH]2,3.52,3.45
C/C(=N/c1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2)/O,4.56,3.68
CNN1Oc2cccc(c2O1)OCCOCCOC,3.74,3.2
COCCOCCOn1c2ccc(cc2[nH]s1)C(F)(F)F,3.9,3.99
COn1c2cccc(c3ccccc3)c2[nH]s1,3.66,3.9
CC(=O)c1ccc2c(c1)[nH]sn2OCCOCCOCCOC,3.99,3.89
C#Cc1cccc2c1[nH]sn2OCCOCCOCCOC,3.82,3.96
COCCOCCOc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.97,3.53
C#Cc1ccc2c(c1)[nH]sn2OCCOCCOC,3.83,3.95
CC(C)(C)n1c2ccccc2n(C(Cl)(Cl)Cl)s1,4.44,3.36
c1ccc(cc1)c1ccc2c(c1)[nH]sn2C(Cl)(Cl)Cl,4.29,3.91
COCCOCCOCCOn1c2ccc(cc2[nH]s1)c1ccccc1,3.72,3.95
COCCOCCOCCOn1c2cc(ccc2[nH]s1)Cl,3.83,3.96
CNc1ccc2c(c1)n(OCCOCCOC)s[nH]2,3.52,3.51
C#Cc1cccc2c1[nH]sn2OCCOC,3.83,3.96
C=Cc1cccc2c1[nH]sn2OCCOC,3.74,3.96
C=Cc1cccc2c1[nH]sn2OCCOCCOCCOC,3.75,3.86
C#Cc1ccc2c(c1)[nH]sn2OCCOC,3.85,3.95
C=Cc1ccc2c(c1)[nH]sn2OCCOC,3.78,3.9
CC(C)(C)c1ccc2c(c1)[nH]sn2C#N,3.56,3.89
CC(C)(C)c1cn(C)cc/c/1=c\1/ccn(C)c(c1)C(Cl)(Cl)Cl,3.52,2.06
CNC1=CN(C)C=C[C]1[C]1C=CN(C)[CH][C]1C(Cl)(Cl)Cl,3.59,2.01
Cn1ccc(=c2cc(C(Br)(Br)Br)n(C)cc2OC)cc1,3.69,2.11
Cn1ccc(=c2cc(C(Br)(Br)Br)n(C)cc2OCCOC)cc1,3.54,2.24
C=Cn1c2ccccc2n(C(Br)(Br)Br)s1,4.48,3.71
CN(C)C1=Cc2c(=C[CH]1)[nH]sn2.[Cl],3.53,3.87
c1cc(c2c(c1)[nH]sn2N(=O)=O)C(Br)(Br)Br,4.28,3.01
c1cc(c2c(c1)[nH]sn2C(Cl)(Cl)Cl)N,4.37,3.96
c1cc2c(cc1C(Cl)(Cl)Cl)[nH]sn2C(Br)(Br)Br,4.37,3.95
c1cc2c(c(c1)O)n(C(Cl)(Cl)Cl)s[nH]2,4.59,3.88
C=Cc1cccc2c1[nH]sn2OC,3.73,3.95
C=Cc1cccc2c1[nH]sn2O,3.92,3.97
CCC1=CN(C)C=C[C]1[C]1C=CN(C)C(=C1)C(Br)(Br)Br,3.72,2.17
C#Cc1cccc2c1[nH]sn2N(=O)=O,3.66,3.32
COc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,4.29,3.75
c1ccc(cc1)c1cccc2c1[nH]sn2O,3.85,3.91
COn1c2ccc(cc2[nH]s1)Cl,3.79,3.99
C=Cc1ccc2c(c1)[nH]sn2OC,3.76,3.9
CNC1=CN(C)C=C[C]1[C]1C=CN(C)C(=C1)C(Cl)(Cl)Cl,3.51,2.0
c1cc2c(cc1F)[nH]sn2C(Cl)(Cl)Cl,4.25,3.87
C=Cc1ccc2c(c1)[nH]sn2C(Cl)(Cl)Cl,4.37,3.81
c1cc(c(c2c1[nH]s[nH]2)C(Br)(Br)Br)N(=O)=O,3.65,3.7
c1cc2c(cc1O)[nH]sn2C#N,3.58,3.87
COc1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2,4.37,3.73
Cc1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2,4.32,3.86
C#Cc1cccc2c1[nH]sn2OC,3.82,3.97
c1cc2c(c(c1C(F)(F)F)C(Cl)(Cl)Cl)[nH]s[nH]2,3.57,3.5
CNc1ccc2c(c1)n(F)s[nH]2,4.23,3.81
c1ccc2c(c1)[nH]sn2C(Cl)(Cl)Cl,4.23,3.81
C=Cc1ccc2c(c1)[nH]sn2O,3.95,3.91
Cn1c2ccccc2n(C(Br)(Br)Br)s1,4.32,3.66
c1cc(c2c(c1)n(C(Cl)(Cl)Cl)s[nH]2)C(=O)O,4.31,3.69
c1cc(C#N)c2c(c1)[nH]sn2N(=O)=O,3.93,3.32
C#Cc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,4.24,3.85
c1cc(c2c(c1)n(C(Cl)(Cl)Cl)s[nH]2)Cl,4.19,3.92
c1cc(c2c(c1)[nH]sn2N(=O)=O)C(=O)O,3.86,3.22
C#Cc1ccc2c(c1)[nH]sn2OC,3.83,3.96
CCc1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2,4.31,3.87
C=Cc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,4.14,3.87
C#Cn1c2ccccc2n(C(Cl)(Cl)Cl)s1,4.31,3.8
C/C(=N/n1c2ccccc2n(N(=O)=O)s1)/O,3.91,3.07
COc1cccc2c1n(C(Cl)(Cl)Cl)s[nH]2,4.56,3.85
c1ccc(cc1)c1ccc2c(c1)[nH]sn2O,3.9,3.91
COn1c2cc(ccc2[nH]s1)Cl,3.8,3.97
C/C(=N/c1cccc2c1[nH]sn2OC)/O,3.53,3.79
C#Cn1c2c(cccc2[nH]s1)/N=C(/C)\O,3.92,3.47
COc1cccc2c1n(N(=O)=O)s[nH]2,3.58,3.19
c1cc(c2c(c1)[nH]sn2N(=O)=O)Cl,3.79,3.21
c1cc2c(cc1F)n(N(=O)=O)s[nH]2,3.65,3.29
CNc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,4.31,3.81
Cn1ccc(=c2ccn(cc2C(Cl)(Cl)Cl)CC(Cl)(Cl)Cl)cc1,3.9,2.34
C=Cc1c/c(=c\2/ccn(C)c(c2)C(Br)(Br)Br)/ccn1C,3.6,2.23
Cn1ccc(=c2ccn(cc2C(Br)(Br)Br)CF)cc1,3.51,2.39
Cn1ccc(=c2ccn(cc2)CC#N)c(c1)C(Br)(Br)Br,3.5,2.41
Cn1cc/c(=c\2/ccn(C)c(c2)O)/c(c1)C(Br)(Br)Br,3.5,2.2
Cn1cc/c(=c\2/ccn(C)c(c2)C(Cl)(Cl)Cl)/cc1C(Cl)(Cl)Cl,3.91,2.43
Cn1ccc(=c2cc(C(Cl)(Cl)Cl)n(C)cc2N)cc1,3.52,2.04
C=Cc1c(=c2ccn(C)cc2)ccn(C)c1C(Cl)(Cl)Cl,3.52,2.38
C#Cc1cc(=c2ccn(C)cc2)cc(C(Br)(Br)Br)n1C,3.66,2.42
Cn1ccc(=c2ccn(cc2C(Br)(Br)Br)CC(=O)O)cc1,3.5,2.3
CN1C=C[C]([C]2C=CN(C)C(=C2)C(Cl)(Cl)Cl)C(=C1)N,3.57,2.02
Cn1cc/c(=c/2\ccn(C)c(c2)C(Cl)(Cl)Cl)/cc1C(Br)(Br)Br,4.31,2.45
C#Cc1c/c(=c\2/ccn(C)c(c2)C(Cl)(Cl)Cl)/ccn1C,3.51,2.27
C#Cc1c(=c2ccn(C)cc2)ccn(C)c1C(Cl)(Cl)Cl,3.72,2.44
