SMILES,Affinity,Ionization
c1cc2c3c4c1c(=O)n(c(=O)c4cc(c3c1c3c2c(cc2c3c(cc1)c(=O)n(c2=O)C)C#N)C#N)C,2.94,4.94
c1cc2c(cc1C(Cl)(Cl)Cl)ON(N(=O)=O)O2,3.31,4.61
CN(CC=C(Cl)Cl)C(=C(Cl)Cl)CNC.Cl.Cl,2.82,4.16
CC1=CC=C[C@H]1C(Cl)(Cl)Cl,2.51,4.65
C[C@H]1C=CC=C1C(Cl)(Cl)Cl,3.23,4.91
CN(C)[C@H]1C=CC=C1C(Cl)(Cl)Cl,3.31,4.17
C=CC1=CC=C[C@H]1C(Cl)(Cl)Cl,2.54,4.38
c1ccc(cc1)C1=CC=C[C@H]1C(Cl)(Cl)Cl,2.59,4.38
C1=C[C@@H](C(=C1)C(Cl)(Cl)Cl)N,3.34,4.77
CN[C@@H](CNC)C(=N)O.C=CN(=O)=O,2.52,4.13
CNCCNC.C(#N)/C=C\C(Cl)(Cl)Cl,3.28,4.06
c1c(C(Cl)(Cl)Cl)nc(cn1)N,2.76,4.97
CN(C)c1cncc(C(Cl)(Cl)Cl)n1,2.71,4.51
CNc1cncc(C(Cl)(Cl)Cl)n1,2.74,4.71
C[C]([N]N1Oc2ccc(cc2O1)C(Cl)(Cl)Cl)O,3.3,4.6
c1c(cc2c(c1N)ONO2)C(Br)(Br)Br,2.93,4.35
C/C(=N/c1c(ccc2c1ONO2)C(Br)(Br)Br)/O,3.3,4.55
C/C(=N/c1cc(cc2c1ONO2)C(Cl)(Cl)Cl)/O,2.71,4.55
CNc1cccc2c1ON(N(=O)=O)O2,3.36,4.37
c1c(cc2c(c1C(=O)O)ONO2)C(Br)(Br)Br,2.86,4.79
C[C]([N]N1Oc2cccc(c2O1)C(Cl)(Cl)Cl)O,2.91,4.59
c1c(cc2c(c1N)ONO2)C(Cl)(Cl)Cl,2.77,4.37
C/C(=N/c1cc2c(cc1C(Br)(Br)Br)ONO2)/O,3.31,4.3
CNc1cc(cc2c1ONO2)C(Cl)(Cl)Cl,2.79,4.19
C/C(=N/c1c(ccc2c1ONO2)C(Cl)(Cl)Cl)/O,3.2,4.56
CNc1ccc(c2c1ONO2)C(Cl)(Cl)Cl,3.01,4.24
CN(C)c1ccc2c(c1)ON(N(=O)=O)O2,3.2,4.05
CN(C)[N]OC1=CC=C[C](C1=O)N(=O)=O,2.55,4.04
CN(C)N1Oc2cccc(c2O1)C(Br)(Br)Br,2.79,4.5
