SMILES,Affinity,Ionization
c12c(C(=O)OC2=O)cccc1N(=O)=O,2.6,6.63
c12c(C(=O)c3c1ccc(c3)N(=O)=O)cc(cc2N(=O)=O)N(=O)=O,2.93,6.13
N(=O)(=O)C1=CC(=N)C=CC1=O,3.0,6.08
c1(S(=O)(=O)/N=C\2/C(=C(C(=O)C(=C2)Cl)Cl)Cl)ccccc1,3.42,6.07
C1(=C(C(=O)C=CC1=O)Cl)Cl,3.09,6.2
[N](C1=C[CH]C(=O)C=C1)S(=O)(=O)C,3.04,6.32
c1(c(ccc(c1)C(=O)O)N(=O)=O)N(=O)=O,2.77,6.65
c1(c(cc(c(c1)C#N)C#N)C#N)C#N,2.53,6.83
N1(c2ccc(cc2)N(=O)=O)C(=O)N=NC1=O,3.49,6.11
c1(c(cc(c(n1)C#N)C#N)C#N)C#N,2.74,7.08
c1(c(cc(c(c1)C#N)C(=O)Cl)C#N)C(=O)Cl,2.89,6.82
c1(c(cc(cc1)C)N(=O)=O)N(=O)=O,2.54,6.14
c12c(C(=O)C=C(C1=O)Cl)cccc2,2.69,6.12
C([C](C(F)(F)F)[C](C(F)(F)F)C(F)(F)F)(F)(F)F,2.74,8.2
[C]([C](C(C(F)(F)F)(F)F)C(F)(F)F)(C(C(F)(F)F)(F)F)C(F)(F)F,2.68,8.23
C1(=CC(=O)C=C(C1=O)Cl)Cl,3.14,6.4
c1(cc2c(cc1)C(=O)c1c(C2=O)cccc1)N(=O)=O,2.64,6.1
C(C(Cl)Cl)(Cl)(Cl)Cl,2.51,7.18
c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)C(=O)O,2.63,6.04
c12c(C(=O)OC1=O)ccc(c2)N(=O)=O,2.73,6.96
c1c(c2c(cc1c1ccccc1)nccn2)c1ccccc1,2.72,6.12
c1(cc2c(cc1)nc(cn2)N(=O)=O)N(=O)=O,2.94,6.33
C(CCl)(Cl)(Cl)Cl,2.53,7.15
c1c(c2c(cc1)ncc(n2)c1ccccc1)c1ccccc1,2.74,6.07
c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1C#N)C#N,2.67,6.23
c1(cc(ccn1)c1ccnc(c1)C(=O)O)C,2.74,7.11
c1c(c2c(cc1)nc(cn2)N(=O)=O)N(=O)=O,2.71,6.18
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.54,6.15
c1cc(c(cn1)N(=O)=O)c1ccncc1N(=O)=O,2.57,6.32
c1(ccc(s1)N(=O)=O)N(=O)=O,3.06,6.52
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)N(=O)=O)N(=O)=O,2.91,6.56
c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1C(=O)O)C,2.59,6.0
C(N(=O)=O)(N(=O)=O)(N(=O)=O)F,3.25,8.04
c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1C)N(=O)=O,2.58,6.04
c1(cc2c(cc1)ncc(n2)N(=O)=O)N(=O)=O,2.74,6.37
