SMILES,Affinity,Ionization
C1(C(=S)NC(=S)N1)(C)C,1.33,5.04
Clc1c(Cl)cc(cc1Cl)Cl,1.44,5.54
[C@H]([C@@H]([C@H](C=O)O)O)([C@@H](CO)O)O,0.71,5.53
C(O)c1c(F)c(F)c(c(c1F)F)F,0.95,5.85
C(S[C@@H](C(=O)OCC)F)c1ccccc1,1.28,5.17
C(=O)([C@@H]1[C@H](C1)C)c1ccccc1,0.91,5.48
C(=C\C(C)(C)C)/C(=O)C(C)(C)C,0.74,5.4
Fc1ccc(cc1)n1c(nnn1)c1ccccc1,0.89,5.46
[C@H](C(=O)OCC)(SCCCCCCC)F,0.82,5.37
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C#N,0.79,5.97
Clc1cc(Cl)cc(c1)Cl,1.27,5.68
C(=O)(C=C)NC.C(=O)(N(C)C)C=C,0.74,5.32
[C@H](SCC(F)(F)F)(OC)c1ccccc1,1.43,5.26
C(=O)(OC)c1c(Cl)cccc1,0.89,5.58
Fc1c(F)c(F)c(cc1F)F,0.89,5.83
N(C(C#N)(C)C)c1nc(NCC)nc(n1)Cl,0.61,5.4
Fc1c(F)c(F)ccc1F,0.67,5.75
C(=O)(C)c1cc(Cl)c(cc1)Cl,1.24,5.66
C(=O)([C@H](O)c1ccccc1)N1[C@H](C)CCC1=O,0.71,5.23
Clc1cc2c(cc1)[nH]nn2,0.78,5.27
S(=O)(=O)(C(C)(C)C)c1ccccn1,0.82,5.6
C(=O)(C(C)(C)C)c1ccccc1,0.91,5.37
C(=O)(OCC)c1c(C(=O)OCC)cccc1,1.04,5.73
CC1(C)C(=O)CC(CC1=O)(C)C,0.57,5.57
C1(CC(=CC(=O)C1)c1ccccc1)(C)C,1.23,5.04
C(F)(F)(c1ccc(cc1)F)c1ccc(cc1)F,0.93,5.37
C(=O)(OCc1ccccc1)N1CCOCC1,1.36,5.0
c1(c(c(c(c(c1F)F)F)F)F)Sc1c(c(c(c(c1F)F)F)F)F,1.19,5.41
[C@@H](C(=O)O)(CO)N.C(CC=O)CC=O,0.67,5.36
C(C(NC(=O)C=C)(C)C)S([O])([O])O,0.89,5.82
c1(c(cc(c(c1)Cl)C)Cl)Cl,1.31,5.27
C(C(=O)SCc1ccccc1)c1ccccc1,1.33,5.2
C1(N(C([CH]N1[O])(C)C)N=O)(C)C,1.0,5.28
C(=O)([C@@H]1C(C1)(C)C)c1ccccc1,0.89,5.44
C(=O)(c1cnccc1)N(CC)CC,0.65,5.24
c1(c2ccccc2)c(c(ccc1)Cl)Cl,1.3,5.05
c1(C(=O)CCC)ccc(cc1)F,0.96,5.57
N(=C=S)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,0.93,5.37
[C@@H](NC(=O)C=C)(C(=O)OC)C(C)C,0.57,5.66
[C@H]12C(=O)C=C([C@@H](C2)C(=O)C=C1C)C,1.42,5.4
C(#C[Si](C)(C)C)c1ccc(cc1)C=O,1.43,5.2
O=c1n([C@@H]2O[C@@H](C=C2)COC(=O)C)ccc(n1)NC(=O)C,1.09,5.25
c1(c2c(cc(c(c2)Cl)Cl)Cl)c(cc(c(c1)Cl)Cl)Cl,0.81,5.32
C(=O)(CCCc1ccccc1)c1ccccc1,0.91,5.17
C(F)(F)(F)c1ccc(cc1)/C=N/Cc1ccccc1,1.04,5.3
c1(c2c(ccc(c2)Cl)Cl)c(ccc(c1)Cl)Cl,0.63,5.31
[C@H]1(n2c(=O)nc(cc2)N)[C@@H]([C@@H]([C@H](O1)CO)O)O,0.56,5.11
c1(C(=O)OCc2ccccc2)ccc(cc1)O,0.53,5.2
c1(c(cc(c(c1)C)C#N)C)C#N,1.41,5.75
n1([C@@H]2O[C@@H]([C@H](C2)O)CO)c(=O)[nH]c(=O)c(c1)C,0.57,5.0
c12c(OP(O1)F)cccc2,1.26,5.0
c1(c2ccccc2)cc(cc(c1)Cl)Cl,0.61,5.49
c1(c(c(cc(c1)F)F)F)F,0.51,5.74
c1(c(ccc(c1)C)Cl)Cl,1.24,5.22
c1cc2c(cc1)ncc(n2)C=C,1.32,5.12
c1(C(=O)c2ccccc2)c(cccc1)Cl,1.25,5.47
C1[C@H](C[C@H](SC1)C#N)C#N,1.16,5.4
c1(cc(ccn1)c1ccncc1)C#N,1.43,5.78
c1(cc(ccn1)c1ccncc1)C=C,1.15,5.14
c1(cc2c(cc1)ncc(n2)C=C)C,1.26,5.08
c1(cc2c(cc1)nccn2)C#C,1.46,5.27
c1(cc(ccn1)c1ccncc1)CC,1.03,5.64
c1cc(c(cn1)C)c1ccnc(c1)C=C,0.91,5.2
c1c(c(ccn1)c1ccncc1)CC,0.87,5.65
c1cc(ccn1)c1cc(ncc1C)CC,0.86,5.32
c1(cc(ccn1)c1ccncc1)F,1.23,5.8
c1c(c(ccn1)c1ccncc1)C#C,1.19,5.47
c1(cc2c(cc1)nccn2)CC,1.21,5.25
