SMILES,Affinity,Ionization
c1(SSc2ncccc2)ncccc1,1.99,4.78
c12c(c3c(nc1cccc2)cccc3)Cl,1.51,4.56
c1(Sc2ccc(cc2)C)ccc(cc1)N(=O)=O,2.05,4.62
C\1(=C/c2ccc(cc2)Cl)/C(=O)OC(=N1)C,1.79,4.83
N1(c2ccc(cc2)OC)C(=O)C=CC1=O,1.95,4.57
Clc1c(O)ccc(c1)Cl,1.58,4.93
c12c(c3c(cc1cccc2)cccc3)C=O,1.71,4.29
O=[S@]1c2c(N(c3c1cccc3)C)ccc(c2)N(=O)=O,2.04,4.73
C(=S)(Nc1ccccc1)c1cccnc1,1.51,4.58
O=C1c2c(C(=O)C=C1NCC(=O)O)cccc2,2.21,4.89
[N]([N]c1ccc(cc1)OC)[C@H]1C(=NNC1=O)N,1.53,4.33
c1(cc(c(cc1)OC)N)N(=O)=O,1.84,4.26
C(N(=O)=O)c1c(OC)ccc(c1)OC,1.64,4.21
C(C)(C)(C)C1=NN=C([C@@H](C1=O)N)SC,1.91,4.85
C(=O)(/C(=N/N(C)c1ccccc1)/C#N)c1ccccc1,1.81,4.77
O=C1c2c(ccc(c2C(=O)c2c1cccc2)N)c1c2c(C(=O)c3c(C2=O)cccc3)c(cc1)N,1.98,4.16
O=c1n2n(c(=O)n1c1ccccc1)[C@@H]1C[C@H]2C=C1,2.26,4.65
O=c1n2n(c(=O)n1c1ccccc1)[C@H]1[C@H]([C@@H]2C=C1)O,2.1,4.74
C(C)(C)(C)C1=NN=C([C@@H](C1=O)N)C,1.91,4.97
[N](c1ccc(cc1)[NH])c1ccccc1,2.07,4.49
c1(c2c(cc3c1cccc3)cccc2)N(=O)=O,2.05,4.41
C(=O)c1c2c3c4c(cc2)cccc4ccc3cc1,1.53,4.35
C(=O)(/C(=N/Nc1cc(C)ccc1)/C#N)c1ccccc1,1.82,4.74
N(=O)(=O)c1ccc(cc1)c1n2c(nn1)cccc2,2.18,4.78
S(/C(=C(/Sc1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,1.75,4.31
c12c3C(=O)C=Cc1cccc2ccc3,1.83,4.79
N(C(=S)Nc1ccccc1)N1C(=O)CSC1=S,1.56,4.73
N(=N\c1ccccc1)/c1ccc(cc1)OC,1.56,4.34
[N]([N]c1ccc(cc1)N)c1ccc(cc1)N(=O)=O,2.27,4.26
