SMILES,Affinity,Ionization
N1C(CC(=O)CC1(C)C)(C)C,0.04,4.41
C1(N(C(CC(=O)C1)(C)C)O)(C)C,0.08,4.07
[Si](c1sc(cc1)[Si](C)(C)C)(C)(C)C,-0.02,4.66
[C@]12(C(C)C)OO[C@](CC1)(CC2)C,-0.82,4.76
c1(cc(c(cc1)C)O)C(C)C,-0.5,4.5
C1(c2c(c3c1cccc3)cccc2)(C)C,0.16,4.48
C(F)(F)(F)c1ccc(cc1)N,-0.13,4.42
c1(c2ccccc2)ncsc1,0.38,4.65
Oc1c(O)c(O)c(c(c1O)O)O,0.06,4.01
[Si](CCCN)(OC)(OC)OC,-0.82,4.77
C(CC(=O)N1CCCC1)c1cc(OC)ccc1,-0.58,4.59
c1(cc(ccc1)N)NC(=O)C,-0.34,4.02
S(=O)(C(C)(C)C)C(C)(C)C,-0.92,4.55
N(CC(F)(F)F)([C@@H](C#N)C)c1ccccc1,-0.46,4.44
[C@@]12(ON([C@H](CC1)CC2)C=O)C,-0.88,4.44
P(OCC)(OCC)OCC,-0.47,4.72
O(C1=CCC=CC1)C1=CCC=CC1,-0.88,4.28
C(c1ccccc1)(c1ccccc1)c1ccccc1,-0.27,4.97
C(C(F)(F)F)N1c2c(CC[C@H]1C#N)cccc2,0.27,4.27
C12=NCCCN1CCCCC2,-0.89,4.12
O(C)[C@H]1c2c(cc(cc2)OC)CCC1,-0.64,4.52
N(C#N)(c1ccccc1)c1ccccc1,0.03,4.68
c12c3c([nH]c1cccc2)cccc3,0.1,4.23
C(=C1CCCC1)c1ccccc1,0.03,4.27
C(N)(c1ccccc1)c1ccccc1,-0.4,4.75
c12c(ccc(c2)C)cccc1C,0.26,4.35
[C@H]12c3c(CC[C@H]1CCCC2)cccc3,-0.66,4.9
C(CC=C)c1c2c(ccc1)cccc2,0.31,4.47
[C@](CCC=C(C)C)(C=C)(C)O,-0.66,4.79
C(#Cc1ccccc1)C1CCCCC1,0.11,4.77
C(=C\[C@@H](CC=C)O)/c1ccccc1,0.48,4.58
C(#CSCCC)SCCC,0.49,4.24
C(n1c(=O)n(cc1)C)c1ccccc1,-0.4,4.03
