SMILES,Affinity,Ionization
C12=C(C=C(C1=C[CH][CH][CH][CH]2)C(=O)C)C(=O)C,4.47,4.35
C1CCC2(SC1)C(Cl)(Cl)C2(Cl)Cl.ClCl,4.15,4.79
COCCOn1c2ccc(cc2[nH]s1)C(F)(F)F,3.91,4.03
CC(=O)c1ccc2c(c1)[nH]sn2O,4.16,4.0
COn1c2ccc(cc2[nH]s1)C#N,4.01,4.06
C=C[C]1C=Cc2c(=C1)[nH]sn2.[Cl],3.8,4.35
COCCOn1c2ccccc2n(C(Cl)(Cl)Cl)s1,3.95,4.29
c1ccc2c(c1)n(Cl)sn2Cl,4.77,4.78
C1=Cc2c(=C[C]1C(Cl)(Cl)Cl)[nH]sn2.[Cl],4.04,4.38
COCCOn1c2c(cccc2[nH]s1)C#N,4.1,4.16
S(=O)(=O)(C(C(F)(F)F)(F)F)[CH]N([CH][C@@H]1N(S(=O)(=O)C(C(F)(F)F)(F)F)N1C)CC,3.89,4.83
COCCOn1c2ccccc2n(N(=O)=O)s1,3.63,4.52
COC1=C[CH]C=c2c1ns[nH]2.[Cl],3.51,4.19
C1=Cc2c(=C([CH]1)C(Cl)(Cl)Cl)[nH]sn2.[Cl],3.84,4.54
Cc1cccc2c1n(F)s[nH]2,4.23,4.64
CC(=O)C1=c2c(C=C[CH]1)ns[nH]2.[Cl],3.63,4.58
c1cc(C#N)c2c(c1)n(O)s[nH]2,4.27,4.14
COn1c2ccc(cc2[nH]s1)C(F)(F)F,3.9,4.04
COCCOC1=C[C]2C(=NSN2)C=C1.[Cl],3.55,4.41
c1cc2c(cc1C(=O)O)[nH]sn2O,4.16,4.02
COCCOn1c2c(cccc2[nH]s1)C(=O)O,4.24,4.02
COn1c2cc(ccc2[nH]s1)C(F)(F)F,3.88,4.05
CNc1cccc2c1ON(C(Cl)(Cl)Cl)O2,4.85,4.11
C/C(=N/c1cccc2c1ON(N(=O)=O)O2)/O,3.57,4.33
C1CCc2c(C1)c(c(c(c2N(=O)=O)O)O)C(Br)(Br)Br,3.54,4.72
CC(C)(C)c1ccc2c(c1)ON(C(Br)(Br)Br)O2,4.97,4.52
C/C(=N/c1ccc2c(c1)ON(Cl)O2)/O,4.05,4.72
C/C(=N/c1ccc2c(c1)ON(N(=O)=O)O2)/O,3.56,4.2
c1c(c(cc2c1ONO2)C(F)(F)F)C(Br)(Br)Br,3.51,4.94
C1CCc2c(C1)c(C#N)c(c(c2C(Br)(Br)Br)O)O,3.54,4.74
C#CN1Oc2ccc(cc2O1)OCCOCCOC,3.59,4.15
COCCOCCOc1ccc2c(c1)ON(Cl)O2,3.81,4.83
COCCOCCOc1ccc2c(c1)ON(F)O2,3.58,4.74
COCCOc1cccc2c1ON(C#N)O2,3.96,4.8
COCCOCCOCCOc1ccc2c(c1)ON(F)O2,3.54,4.72
C#Cc1ccc2c(c1)ON(C(Cl)(Cl)Cl)O2,4.77,4.7
COCCOCCOc1ccc2c(c1)ON(C#N)O2,4.14,4.36
c1ccc(cc1)c1cccc2c1ON(C(Cl)(Cl)Cl)O2,4.66,4.71
COCCOCCOCCOn1c2ccccc2n(Cl)s1,4.01,4.57
COCCOCCOCCOn1c2ccccc2n(N(=O)=O)s1,3.6,4.49
COCCOCCOn1c2ccccc2n(C(Br)(Br)Br)s1,4.14,4.2
COCCOCCOn1c2ccccc2n(N(=O)=O)s1,3.65,4.47
CC(C)(C)C1=c2c(C=C[CH]1)ns[nH]2.[Cl],3.66,4.39
COCCOn1c2ccc(cc2[nH]s1)C(=O)O,3.97,4.0
COCCOCCOc1cccc2c1[nH]sn2F,3.85,4.44
CC(C)(C)C1=CC=c2c([CH]1)ns[nH]2.[Cl],3.7,4.32
COCCOCCOCCOC1=Cc2c(=C[CH]1)[nH]sn2.[Cl],3.71,4.35
C#Cc1cccc2c1n(OCCOC)s[nH]2,3.89,4.06
COCCOCCOCCOn1c2c(cccc2[nH]s1)C(F)(F)F,4.0,4.18
COc1ccc2c(c1)ON(Cl)O2,3.85,4.88
c1cc2c(cc1O)ON(Cl)O2,4.19,4.96
COCCOCCOCCOn1c2c(cccc2[nH]s1)C#N,4.1,4.17
C#CN1Oc2cccc(c2O1)C(F)(F)F,4.52,4.78
C#CN1Oc2ccc(cc2O1)c1ccccc1,4.21,4.33
c1ccc(cc1)c1ccc2c(c1)ON(Cl)O2,3.88,4.94
C#CN1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,4.48,4.71
c1cc(c2c(c1)ON(C(Cl)(Cl)Cl)O2)C(Cl)(Cl)Cl,4.64,4.95
CC(C)(C)c1ccc2c(c1)[nH]sn2F,4.23,4.61
C#CN1Oc2cccc(c2O1)O,4.71,4.51
COCCOc1ccc2c(c1)ON(F)O2,3.57,4.74
c1cc2c(cc1N)ON(F)O2,3.69,4.27
C#CN1Oc2cccc(C)c2O1,4.22,4.44
CN(C)c1ccc2c(c1)ON(Cl)O2,3.74,4.21
c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)C(Br)(Br)Br,4.8,4.89
c1cc2c(cc1O)ON(N(=O)=O)O2,3.67,4.27
C#Cc1cccc2c1ON(C(Br)(Br)Br)O2,4.93,4.82
CN(C)c1cccc2c1ON(Cl)O2,3.81,4.34
COCCOc1ccc2c(c1)ON(Cl)O2,3.84,4.87
C#Cc1ccc2c(c1)ON(C#C)O2,4.42,4.53
CNc1ccc2c(c1)ON(Cl)O2,3.75,4.3
c1cc2c(cc1C(=O)O)ON(C(Br)(Br)Br)O2,4.77,4.95
c1ccc2c(c1)ON(C(Br)(Br)Br)O2,4.87,4.69
C=Cc1ccc2c(c1)ON(Cl)O2,3.92,4.96
CCc1cccc2c1ON(C#N)O2,4.3,4.76
c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)C(F)(F)F,4.89,4.98
COc1cccc2c1ON(C(Br)(Br)Br)O2,4.86,4.65
CNc1cccc2c1ON(C#N)O2,4.1,4.17
CNc1cccc2c1ON(O)O2,4.26,4.04
c1cc(c2c(c1)ON(C(Cl)(Cl)Cl)O2)C(=O)O,4.49,4.93
c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)C(=O)O,4.74,4.89
c1cc2c(c(c1C(Br)(Br)Br)C(Br)(Br)Br)ONO2,3.76,4.78
c1cc2c(cc1C(Cl)(Cl)Cl)ON(C(Br)(Br)Br)O2,4.77,4.91
C#Cc1cccc2c1ON(C(Cl)(Cl)Cl)O2,4.88,4.85
C#C[C]1C=CC=c2c1ns[nH]2.[Cl],3.98,4.41
C[C]1C=Cc2c(=C1)[nH]sn2.[Cl],3.65,4.39
COC1=Cc2c(=C[CH]1)[nH]sn2.[Cl],3.65,4.36
c1cc(c2c(c1)[nH]sn2F)C(Cl)(Cl)Cl,4.74,4.79
Cc1cccc2c1[nH]sn2F,4.26,4.62
CC(=O)c1ccc2c(c1)n(F)s[nH]2,4.54,4.8
CN(C)n1c2=C[CH]C=Cc2ns1.[Cl],3.57,4.35
CNn1c2=C[CH]C=Cc2ns1.[Cl],3.67,4.36
CC(=O)n1c2ccccc2n(C(Cl)(Cl)Cl)s1,4.14,4.09
[CH]1C=Cc2c(=C1)[nH]sn2.[Cl],3.77,4.41
COCCOn1c2ccccc2n(Cl)s1,4.06,4.6
C1=Cc2c(=C[C]1C(Br)(Br)Br)[nH]sn2.[Cl],4.0,4.41
C1=Cc2c(=C[C]1Cl)[nH]sn2.[Cl],3.88,4.44
c1cc2c(cc1C(F)(F)F)n(F)s[nH]2,4.54,4.85
C1=Cc2c(=C[CH]1)n(N)sn2.[Cl],3.69,4.38
CN(C)C1=C[CH]C=c2c1ns[nH]2.[F],3.6,4.22
c1cc(c2c(c1)n(F)s[nH]2)C(Cl)(Cl)Cl,4.46,4.89
C#Cc1cccc2c1[nH]sn2F,4.41,4.73
c1cc2c(cc1Cl)[nH]sn2C(Cl)(Cl)Cl,4.31,4.0
c1cc(c2c(c1)n(O)s[nH]2)C(F)(F)F,4.11,4.11
c1cc2c(cc1C(Cl)(Cl)Cl)[nH]sn2C#N,3.69,4.11
c1cc2c(cc1N(=O)=O)[nH]sn2C(Br)(Br)Br,4.35,4.07
c1ccc2c(c1)n(Cl)sn2O,4.11,4.59
CN(C)c1ccc2c(c1)[nH]sn2F,3.92,4.07
c1ccc2c(c1)n(C(=O)O)sn2C(Cl)(Cl)Cl,4.11,4.04
c1ccc2c(c1)n(C(Cl)(Cl)Cl)sn2O,3.99,4.33
c1cc2c(cc1C#N)[nH]sn2O,4.21,4.07
c1cc2c(cc1F)[nH]sn2N(=O)=O,3.5,4.17
c1cc2c(cc1C(Cl)(Cl)Cl)n(N(=O)=O)s[nH]2,3.55,4.21
COn1c2c(cccc2[nH]s1)C#N,4.09,4.12
COn1c2ccccc2n(N(=O)=O)s1,3.58,4.54
c1cc(c2c(c1)[nH]sn2C(Cl)(Cl)Cl)C(=O)O,4.36,4.33
CCc1cccc2c1n(C(Br)(Br)Br)s[nH]2,4.6,4.22
c1cc2c(cc1Cl)n(F)s[nH]2,4.47,4.68
c1cc2c(cc1N(=O)=O)[nH]sn2C(Cl)(Cl)Cl,4.38,4.12
c1cc2c(cc1C(Br)(Br)Br)n(C#N)s[nH]2,3.67,4.07
c1cc2c(c(c1)N(=O)=O)n(C(Cl)(Cl)Cl)s[nH]2,4.38,4.48
CCc1cccc2c1n(F)s[nH]2,4.22,4.63
CCc1cccc2c1n(C(Cl)(Cl)Cl)s[nH]2,4.46,4.02
C#Cc1cccc2c1n(OC)s[nH]2,3.88,4.03
C/C(=N/n1c2ccccc2n(F)s1)/O,4.72,4.38
C#Cc1cccc2c1n(O)s[nH]2,4.06,4.04
C/C(=N/c1ccc2c(c1)n(F)s[nH]2)/O,4.3,4.25
C/C(=N/c1cccc2c1n(F)s[nH]2)/O,4.42,4.48
c1cc(c2c(c1)[nH]sn2C#N)C(Cl)(Cl)Cl,3.69,4.1
c1ccc(cc1)c1cccc2c1n(O)s[nH]2,3.89,4.0
C/C(=N/c1cccc2c1n(C(Br)(Br)Br)s[nH]2)/O,4.87,4.0
CC(=O)c1cccc2c1ON(C(Cl)(Cl)Cl)O2,4.64,4.87
C/C(=N/c1cccc2c1n(C(Cl)(Cl)Cl)s[nH]2)/O,4.88,4.0
CC(=O)c1cccc2c1ON(C(Br)(Br)Br)O2,4.68,4.84
c1cc2c(cc1C(Br)(Br)Br)ON(C(Br)(Br)Br)O2,4.89,4.86
CC(=O)c1ccc2c(c1)ON(C(Br)(Br)Br)O2,4.8,4.89
