C12=C3c4c5C(=O)C2=C(c2c1c(C(=O)[C]3C=Cc4ccc5)ccc2)[CH2],4.80
N1(c2cc(c(cc2)Cl)Cl)C(=O)C=CC1=O,5.20
N1C(CC(=O)CC1(C)C)(C)C,4.41
c1(SSc2ncccc2)ncccc1,4.78
c12N(c3c(Cc1cccc2)cccc3)C,3.70
c12c(CCc3c(N1)cccc3)cccc2,3.70
c1(c2nc3c(cc2)cccc3)nc2c(cc1)cccc2,4.85
N1([C@@H]2CCC[C@H]1CCC2)N(C)C,2.92
c12c(C(=O)OC2=O)cccc1N(=O)=O,6.63
c12c3c(ccc1[N]c1c([CH]2)cc(cc1C)C)cccc3,4.34
c12c(c3c(nc1cccc2)cccc3)Cl,4.56
C1(N(C(CC(=O)C1)(C)C)O)(C)C,4.07
c12c(n(c3c(n1C)cccc3)C)cccc2,3.01
c1(c2ccccc2)cn2c(c1)cccc2,3.76
c12c(Nc3c(O1)cccc3)cccc2,3.47
c1(c2c(cc3c1cccc3)cccc2)C(=O)C,4.12
[N]([Si](C)(C)C)[Si](C)(C)C,2.86
C1(C(=S)NC(=S)N1)(C)C,5.04
[Si](c1sc(cc1)[Si](C)(C)C)(C)(C)C,4.66
c12c3c(sc1cc1c(c2)cccc1)cccc3,4.17
C(=S)(C(C)(C)C)C(C)(C)C,4.56
c1(c(N(=O)=O)cccc1)c1ccccc1,5.18
[C@]12(C(C)C)OO[C@](CC1)(CC2)C,4.76
C(C(=O)CC(=O)C)(F)(F)F,5.91
c12c(C(=O)c3c(C1=O)cccc3)cccc2N(=O)=O,6.13
c12c3c(ccc1nccc2)cccc3,4.74
c12c(C(=O)c3c(C1=O)cccc3)c(ccc2Cl)Cl,5.63
N1(C2=CCCCC2)CCOCC1,3.43
c1(c2sc(cc2)C)sc(cc1)C,3.83
c1(C(=O)OC)ccc(cc1)C#N,6.11
c1(N2C(=O)C=CC2=O)cc(N(=O)=O)ccc1,5.54
C1(=O)[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3,5.27
C(=O)(c1ccccc1)[Si](C)(C)C,4.76
C(N(C(C)(C)C)/N=N\N(C)C)(C)(C)C,3.49
c1(cc(c(cc1)C)O)C(C)C,4.50
c1(c2ccccc2)cc2c(cc1)cccc2,4.41
C1(c2c(c3c1cccc3)cccc2)(C)C,4.48
c12N(c3c(Sc1cccc2)cccc3)C,3.60
C1C(CC(=O)C=C1OC)(C)C,5.20
c12c3c(cc(c1cccc2)C#N)cccc3,4.85
c12c(C(=O)c3c1ccc(c3)N(=O)=O)cc(cc2N(=O)=O)N(=O)=O,6.13
Clc1c(Cl)cc(cc1Cl)Cl,5.54
C(F)(F)(F)c1ccc(cc1)N,4.42
[C@H]([C@@H]([C@H](C=O)O)O)([C@@H](CO)O)O,5.53
c1(c2ccccc2)ncsc1,4.65
c1(Sc2ccc(cc2)C)ccc(cc1)N(=O)=O,4.62
C(O)c1c(F)c(F)c(c(c1F)F)F,5.85
S(c1ccc(cc1)C#N)c1ccccc1,4.66
C(S[C@@H](C(=O)OCC)F)c1ccccc1,5.17
C(=O)([C@@H]1[C@H](C1)C)c1ccccc1,5.48
C(N1C=C(C(=O)N)CC=C1)c1ccccc1.[Cl],5.33
O(C)c1c(Cl)c(Cl)ccc1,4.81
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C=C)(F)F)(F)F)(F)F)(F)F,6.99
c12c(c3c(s2)cccc3)ccc2c1cccc2,4.31
O(C)c1cc(C=O)ccc1O,4.75
C(=O)(O)c1c(N(=O)=O)cccc1,6.15
C(#N)[C@H]1c2c(CCN1CC(F)(F)F)cccc2,5.07
C(=O)(OCC(F)(F)F)/C=C\C(=O)OCC(F)(F)F,6.48
O=C1c2c(C(=O)C=C1F)cn(c2)C,5.25
C(=N\c1ccccc1)/c1ccccc1,4.48
c12c(cc3c(c1)cccc3)cccc2O,3.86
C\1(=C/c2ccc(cc2)Cl)/C(=O)OC(=N1)C,4.83
Oc1c(O)c(O)c(c(c1O)O)O,4.01
CC1=C(C)S/C(=C/2\SC(=C(S2)C)C)/S1,3.08
S(=O)(=O)(C(F)(F)F)[N]S(=O)(=O)C(F)(F)F,5.83
Fc1c(F)c(F)c(c(c1F)F)F,6.07
N(c1ccccc1)c1ccccc1,3.85
c12c(c3c(s2)cccc3)[nH]c2c1[CH][CH]C=C2,3.80
C(=O)(O)c1c(F)c(F)c(c(c1F)F)F,6.02
N1(c2ccc(cc2)OC)C(=O)C=CC1=O,4.57
c1(Sc2ccc(cc2)N)ccc(cc1)N,3.57
Nc1c2c(cc3c(c2)cccc3)ccc1,3.52
C(=C\C(C)(C)C)/C(=O)C(C)(C)C,5.40
[Si](CCCN)(OC)(OC)OC,4.77
N(=O)(=O)C1=CC(=N)C=CC1=O,6.08
C(CC(=O)N1CCCC1)c1cc(OC)ccc1,4.59
C(=O)(NC(=O)OCC(Cl)(Cl)Cl)c1ccccc1,5.62
Clc1c(O)ccc(c1)Cl,4.93
C(C(=O)OCC)(CCC#N)CCC#N,6.58
S(=O)(=O)(N1C(=O)CCCC1)c1ccc(cc1)C,5.41
Fc1ccc(cc1)n1c(nnn1)c1ccccc1,5.46
[C@H](C(=O)OCC)(SCCCCCCC)F,5.37
N(=O)(=O)c1c(O)c(N(=O)=O)ccc1,5.92
C(Nc1ccccc1)c1ccccc1,3.88
Nc1ccccc1.O(C)c1c(N)cccc1,3.86
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)c1ccc(cc1)C#N,6.39
Fc1c(F)cc(c(c1)F)F,5.58
N(=[N])c1ccc(cc1)OC.[Cl],4.90
S([C@]1(F)C(=O)CCCC1)c1ccccc1,4.93
[C@H](CC=C)(O)c1c(N(=O)=O)cccc1,5.39
O=C1c2c(C(=O)N1O)cccc2,5.49
C(CC(=O)Cl)CCCCC(=O)Cl,6.88
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C#N,5.97
Clc1c2c(c(c(c1Cl)Cl)Cl)C(=O)OC2=O,6.10
Clc1cc(Cl)cc(c1)Cl,5.68
Nc1c(Cl)cccc1Cl,4.40
P(=O)(O)(O)c1ccccc1,5.81
Clc1nc(Cl)nc(n1)Cl,7.03
Oc1c2c(c(cc1)O)cccc2,3.88
C(=O)(C=C)NC.C(=O)(N(C)C)C=C,5.32
S(C#N)c1cc(C)c(cc1)O,4.71
[C@H](SCC(F)(F)F)(OC)c1ccccc1,5.26
C(=O)(OC)c1c(Cl)cccc1,5.58
C(=O)(O)[C@@H]1CC[C@H](C=C1)C(=O)O,5.44
[S@]([CH2])(c1ccc(cc1)[S@](=O)C)c1ccccc1,3.31
S(CCCC)(OCC)([O])[O],6.75
Fc1c(F)c(F)c(cc1F)F,5.83
[C@H](C(=O)OCC)(O)c1ccccc1,5.34
Sc1c(Cl)ccc(c1)Cl,4.94
CC1=C(C)C(=O)C(=C(C1=O)C)C,5.50
N(C(C#N)(C)C)c1nc(NCC)nc(n1)Cl,5.40
COc1cccc(c1)N(=O)=O,5.39
c1(cc(ccc1)N)NC(=O)C,4.02
c12c(c3c(cc1cccc2)cccc3)C=O,4.29
ClC1(Cl)C(C1)(c1ccccc1)c1ccccc1,5.11
O=[S@]1c2c(N(c3c1cccc3)C)ccc(c2)N(=O)=O,4.73
S(=O)(C(C)(C)C)C(C)(C)C,4.55
C(C#N)(C#N)c1ccc(cc1)N(=O)=O,6.52
[Si](C)(C)(C)N1C(=O)OCC1,5.36
FC1=Cc2c(CC1)n1c(c3c2cccc3)nnn1,4.55
[C@](CC=C)(C)(O)c1ccccc1,5.19
N(CC(F)(F)F)([C@@H](C#N)C)c1ccccc1,4.44
C12=C(C(=O)C3=C(C1=O)CC3)CC2,5.75
O(c1c(Cl)cc(cc1)Cl)c1c(O)cc(cc1)Cl,4.70
Cn1ccc(=c2ccn(cc2)C)cc1,1.85
c1(c2ccccc2)cc(c(cc1)Cl)Cl,4.86
N(C(=O)OCC)C1CCCCC1,5.36
Fc1c(F)c(F)ccc1F,5.75
C(=S)(Nc1ccccc1)c1cccnc1,4.58
[C@@]12(ON([C@H](CC1)CC2)C=O)C,4.44
N(C(=O)CCc1ccccc1)C1CCCC1,5.14
O=C1c2c(C(=O)C=C1NCC(=O)O)cccc2,4.89
C(=O)(O)[C@H]1c2c3c([C@@H]1C(=O)O)cccc3ccc2,4.54
Cc1c2c(c(c3c1cccc3)C)cccc2,3.78
P(OCC)(OCC)OCC,4.72
S(C(=O)C(=O)Sc1ccccc1)c1ccccc1,5.40
O(C1=CCC=CC1)C1=CCC=CC1,4.28
Cl[O].[O].[O].[O].C(C)N1[C]2C(=CC=C1)C=CC=C2,6.13
C(=O)(C)c1cc(Cl)c(cc1)Cl,5.66
